p,percentage
http://bias.org/vocab/team,0.09680387
http://bias.org/vocab/genre,0.0822258
http://bias.org/vocab/birthPlace,0.07348816
http://bias.org/vocab/recordLabel,0.040032193
http://bias.org/vocab/starring,0.03274316
http://bias.org/vocab/producer,0.026695792
http://bias.org/vocab/language,0.026143942
http://bias.org/vocab/country,0.023545643
http://bias.org/vocab/class,0.021867096
http://bias.org/vocab/associatedBand,0.021453207
http://bias.org/vocab/associatedMusicalArtist,0.021453207
http://bias.org/vocab/deathPlace,0.020763393
http://bias.org/vocab/writer,0.01903886
http://bias.org/vocab/isPartOf,0.013267417
http://bias.org/vocab/battle,0.013175443
http://bias.org/vocab/kingdom,0.012715567
http://bias.org/vocab/format,0.012531617
http://bias.org/vocab/subsequentWork,0.012531617
http://bias.org/vocab/division,0.012324672
http://bias.org/vocab/previousWork,0.012324672
http://bias.org/vocab/hometown,0.012255691
http://bias.org/vocab/type,0.012232698
http://bias.org/vocab/order,0.01218671
http://bias.org/vocab/almaMater,0.011726834
http://bias.org/vocab/occupation,0.011197977
http://bias.org/vocab/location,0.010623132
http://bias.org/vocab/instrument,0.010554151
http://bias.org/vocab/family,0.009864337
http://bias.org/vocab/currentMember,0.009634399
http://bias.org/vocab/managerClub,0.009588411
http://bias.org/vocab/recordedIn,0.008576685
http://bias.org/vocab/musicalArtist,0.008208783
http://bias.org/vocab/musicalBand,0.008208783
http://bias.org/vocab/director,0.007656933
http://bias.org/vocab/artist,0.007151069
http://bias.org/vocab/distributor,0.007082088
http://bias.org/vocab/formerTeam,0.00685215
http://bias.org/vocab/award,0.006415268
http://bias.org/vocab/successor,0.005978386
http://bias.org/vocab/residence,0.005656473
http://bias.org/vocab/nationality,0.00551851
http://bias.org/vocab/musicComposer,0.005495516
http://bias.org/vocab/sisterStation,0.00533456
http://bias.org/vocab/album,0.005219591
http://bias.org/vocab/predecessor,0.004920671
http://bias.org/vocab/neighboringMunicipality,0.0048057023
http://bias.org/vocab/position,0.0046907333
http://bias.org/vocab/race,0.004529777
http://bias.org/vocab/guest,0.0042538512
http://bias.org/vocab/formerBandMember,0.003885951
http://bias.org/vocab/bandMember,0.0038169695
http://bias.org/vocab/product,0.0037939756
http://bias.org/vocab/city,0.003633019
http://bias.org/vocab/religion,0.0035640376
http://bias.org/vocab/region,0.003403081
http://bias.org/vocab/timeZone,0.003403081
http://bias.org/vocab/ground,0.0033570935
http://bias.org/vocab/cinematography,0.003104162
http://bias.org/vocab/network,0.002736261
http://bias.org/vocab/party,0.0027132675
http://bias.org/vocab/pictureFormat,0.002644286
http://bias.org/vocab/industry,0.0026212921
http://bias.org/vocab/field,0.002552311
http://bias.org/vocab/editing,0.0025063234
http://bias.org/vocab/commander,0.0023453666
http://bias.org/vocab/influencedBy,0.002230398
http://bias.org/vocab/company,0.002092435
http://bias.org/vocab/league,0.002092435
http://bias.org/vocab/related,0.0020234536
http://bias.org/vocab/series,0.0020234536
http://bias.org/vocab/state,0.00200046
http://bias.org/vocab/routeJunction,0.001977466
http://bias.org/vocab/locationCity,0.0019544724
http://bias.org/vocab/stateOfOrigin,0.0019314785
http://bias.org/vocab/spouse,0.0019084847
http://bias.org/vocab/bodyStyle,0.0018165095
http://bias.org/vocab/education,0.0017245343
http://bias.org/vocab/broadcastArea,0.0017015405
http://bias.org/vocab/author,0.0016785468
http://bias.org/vocab/executiveProducer,0.0016785468
http://bias.org/vocab/restingPlace,0.001655553
http://bias.org/vocab/computingPlatform,0.0016095655
http://bias.org/vocab/president,0.0015865716
http://bias.org/vocab/district,0.0015635778
http://bias.org/vocab/owningCompany,0.0015635778
http://bias.org/vocab/regionServed,0.0015175903
http://bias.org/vocab/affiliation,0.0014945965
http://bias.org/vocab/populationPlace,0.0014945965
http://bias.org/vocab/composer,0.0014716027
http://bias.org/vocab/developer,0.0014716027
http://bias.org/vocab/knownFor,0.0014716027
http://bias.org/vocab/influenced,0.0014486088
http://bias.org/vocab/assembly,0.001425615
http://bias.org/vocab/headquarter,0.0014026213
http://bias.org/vocab/publisher,0.0013796275
http://bias.org/vocab/creator,0.00133364
http://bias.org/vocab/place,0.0013106461
http://bias.org/vocab/relative,0.0012646585
http://bias.org/vocab/season,0.001218671
http://bias.org/vocab/canton,0.0011956772
http://bias.org/vocab/militaryUnit,0.0011956772
http://bias.org/vocab/part,0.0011956772
http://bias.org/vocab/locationCountry,0.0011726833
http://bias.org/vocab/manager,0.0011726833
http://bias.org/vocab/militaryBranch,0.0011726833
http://bias.org/vocab/owner,0.0011496895
http://bias.org/vocab/citizenship,0.0011266958
http://bias.org/vocab/profession,0.0011266958
http://bias.org/vocab/parent,0.0010807082
http://bias.org/vocab/genus,0.0010577145
http://bias.org/vocab/voice,0.0010577145
http://bias.org/vocab/governmentType,9.88733E-4
http://bias.org/vocab/keyPerson,9.88733E-4
http://bias.org/vocab/broadcastNetwork,9.6573925E-4
http://bias.org/vocab/parentCompany,9.6573925E-4
http://bias.org/vocab/channel,9.427455E-4
http://bias.org/vocab/draftTeam,9.427455E-4
http://bias.org/vocab/largestCity,8.737641E-4
http://bias.org/vocab/leaderParty,8.737641E-4
http://bias.org/vocab/literaryGenre,8.737641E-4
http://bias.org/vocab/child,8.277765E-4
http://bias.org/vocab/leaderName,8.047827E-4
http://bias.org/vocab/primeMinister,8.047827E-4
http://bias.org/vocab/distributingCompany,7.817889E-4
http://bias.org/vocab/distributingLabel,7.817889E-4
http://bias.org/vocab/employer,7.817889E-4
http://bias.org/vocab/foundationPlace,7.817889E-4
http://bias.org/vocab/commandStructure,7.128075E-4
http://bias.org/vocab/countySeat,7.128075E-4
http://bias.org/vocab/foundedBy,7.128075E-4
http://bias.org/vocab/riverMouth,7.128075E-4
http://bias.org/vocab/governor,6.8981375E-4
http://bias.org/vocab/homeStadium,6.8981375E-4
http://bias.org/vocab/binomialAuthority,6.6682E-4
http://bias.org/vocab/presenter,6.6682E-4
http://bias.org/vocab/service,6.6682E-4
http://bias.org/vocab/stylisticOrigin,6.6682E-4
http://bias.org/vocab/doctoralAdvisor,6.208324E-4
http://bias.org/vocab/nonFictionSubject,6.208324E-4
http://bias.org/vocab/sport,5.978386E-4
http://bias.org/vocab/garrison,5.51851E-4
http://bias.org/vocab/layout,5.51851E-4
http://bias.org/vocab/relatedMeanOfTransportation,5.51851E-4
http://bias.org/vocab/doctoralStudent,5.288572E-4
http://bias.org/vocab/manufacturer,5.288572E-4
http://bias.org/vocab/relation,5.288572E-4
http://bias.org/vocab/ideology,5.058634E-4
http://bias.org/vocab/openingTheme,5.058634E-4
http://bias.org/vocab/subsidiary,4.8286963E-4
http://bias.org/vocab/capital,4.5987582E-4
http://bias.org/vocab/ethnicity,4.5987582E-4
http://bias.org/vocab/source,4.5987582E-4
http://bias.org/vocab/binomial,4.3688205E-4
