p,percentage
http://bias.org/vocab/team,0.093345344
http://bias.org/vocab/genre,0.088656336
http://bias.org/vocab/birthPlace,0.07437196
http://bias.org/vocab/recordLabel,0.03363041
http://bias.org/vocab/starring,0.031922493
http://bias.org/vocab/language,0.028661925
http://bias.org/vocab/producer,0.026829798
http://bias.org/vocab/class,0.023072384
http://bias.org/vocab/associatedMusicalArtist,0.022171848
http://bias.org/vocab/deathPlace,0.021861317
http://bias.org/vocab/associatedBand,0.021519734
http://bias.org/vocab/writer,0.019470235
http://bias.org/vocab/country,0.018911282
http://bias.org/vocab/battle,0.014222277
http://bias.org/vocab/kingdom,0.014222277
http://bias.org/vocab/division,0.013756482
http://bias.org/vocab/format,0.013694377
http://bias.org/vocab/almaMater,0.012949104
http://bias.org/vocab/isPartOf,0.012949104
http://bias.org/vocab/type,0.012918051
http://bias.org/vocab/subsequentWork,0.012576468
http://bias.org/vocab/previousWork,0.012483309
http://bias.org/vocab/order,0.012421203
http://bias.org/vocab/hometown,0.012017514
http://bias.org/vocab/family,0.0109927645
http://bias.org/vocab/instrument,0.010961711
http://bias.org/vocab/occupation,0.010620128
http://bias.org/vocab/location,0.010433811
http://bias.org/vocab/managerClub,0.009440115
http://bias.org/vocab/recordedIn,0.008725896
http://bias.org/vocab/musicalArtist,0.008197994
http://bias.org/vocab/musicalBand,0.008166941
http://bias.org/vocab/distributor,0.007856411
http://bias.org/vocab/director,0.0072664036
http://bias.org/vocab/artist,0.007204298
http://bias.org/vocab/currentMember,0.007204298
http://bias.org/vocab/award,0.0063348133
http://bias.org/vocab/successor,0.0061484957
http://bias.org/vocab/residence,0.0059932303
http://bias.org/vocab/nationality,0.0057758596
http://bias.org/vocab/formerTeam,0.0057448065
http://bias.org/vocab/musicComposer,0.0054963822
http://bias.org/vocab/sisterStation,0.0053411173
http://bias.org/vocab/predecessor,0.005154799
http://bias.org/vocab/album,0.005092693
http://bias.org/vocab/guest,0.00444058
http://bias.org/vocab/neighboringMunicipality,0.004285315
http://bias.org/vocab/race,0.004254262
http://bias.org/vocab/bandMember,0.004067944
http://bias.org/vocab/position,0.004036891
http://bias.org/vocab/formerBandMember,0.0037884668
http://bias.org/vocab/religion,0.0037884668
http://bias.org/vocab/timeZone,0.0037884668
http://bias.org/vocab/city,0.003664255
http://bias.org/vocab/product,0.0036332018
http://bias.org/vocab/ground,0.0033226719
http://bias.org/vocab/region,0.0032605657
http://bias.org/vocab/network,0.0029500357
http://bias.org/vocab/cinematography,0.0028568767
http://bias.org/vocab/party,0.0028258236
http://bias.org/vocab/field,0.0027947708
http://bias.org/vocab/pictureFormat,0.0027326646
http://bias.org/vocab/industry,0.0025152937
http://bias.org/vocab/commander,0.0023910815
http://bias.org/vocab/editing,0.0023600287
http://bias.org/vocab/league,0.0021426575
