p,percentage
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.058758244
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_region,0.047380704
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award,0.044675965
http://bias.org/vocab/people/person/profession,0.040221967
http://bias.org/vocab/film/actor/film./film/performance/film,0.03488966
http://bias.org/vocab/award/award_category/nominees./award/award_nomination/nominated_for,0.034783088
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award_winner,0.030953825
http://bias.org/vocab/film/film/genre,0.026709296
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.023067454
http://bias.org/vocab/music/genre/artists,0.021608511
http://bias.org/vocab/award/award_category/winners./award/award_honor/award_winner,0.020847803
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,0.019495433
http://bias.org/vocab/location/location/contains,0.019113243
http://bias.org/vocab/people/person/nationality,0.015423626
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,0.01394631
http://bias.org/vocab/people/person/places_lived./people/place_lived/location,0.013736839
http://bias.org/vocab/people/person/gender,0.013659666
http://bias.org/vocab/common/topic/webpage./common/webpage/category,0.0132738
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.012862209
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award,0.012163974
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award_winner,0.010995351
http://bias.org/vocab/people/person/spouse_s./people/marriage/type_of_union,0.010690333
http://bias.org/vocab/award/award_category/winners./award/award_honor/ceremony,0.010414714
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/award_winner,0.010021498
http://bias.org/vocab/media_common/netflix_genre/titles,0.009815703
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/role,0.009756904
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/student,0.00970178
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/major_field_of_study,0.009635632
http://bias.org/vocab/film/film/language,0.009444537
http://bias.org/vocab/people/person/place_of_birth,0.00905867
http://bias.org/vocab/film/film/country,0.008845525
http://bias.org/vocab/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,0.0085882805
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,0.008323687
http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,0.008312662
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/institution,0.008294287
http://bias.org/vocab/music/record_label/artist,0.008180365
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,0.0078275725
http://bias.org/vocab/people/ethnicity/people,0.0075813537
http://bias.org/vocab/location/location/adjoin_s./location/adjoining_relationship/adjoins,0.0075372546
http://bias.org/vocab/music/instrument/instrumentalists,0.007121989
http://bias.org/vocab/influence/influence_node/influenced_by,0.0070117414
http://bias.org/vocab/music/artist/track_contributions./music/track_contribution/role,0.0065119527
http://bias.org/vocab/film/film/production_companies,0.0057622697
http://bias.org/vocab/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.0055527994
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,0.005251456
http://bias.org/vocab/base/popstra/celebrity/dated./base/popstra/dated/participant,0.0051595834
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/group,0.0048766145
http://bias.org/vocab/film/film/produced_by,0.0047222683
http://bias.org/vocab/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,0.0046744943
http://bias.org/vocab/film/film/estimated_budget./measurement_unit/dated_money_value/currency,0.0044466495
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,0.004237179
http://bias.org/vocab/location/location/time_zones,0.004229829
http://bias.org/vocab/people/person/religion,0.003987285
http://bias.org/vocab/government/legislative_session/members./government/government_position_held/district_represented,0.0039321613
http://bias.org/vocab/film/film/music,0.0038182386
http://bias.org/vocab/tv/tv_program/genre,0.0036969665
http://bias.org/vocab/film/film/featured_film_locations,0.0035903938
http://bias.org/vocab/food/food/nutrients./food/nutrition_fact/nutrient,0.0035499698
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/honored_for,0.0033404995
http://bias.org/vocab/film/director/film,0.0031567535
http://bias.org/vocab/education/educational_institution/colors,0.0031457287
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/citytown,0.0031310292
http://bias.org/vocab/government/legislative_session/members./government/government_position_held/legislative_sessions,0.0029913823
http://bias.org/vocab/organization/organization_member/member_of./organization/organization_membership/organization,0.0029289087
http://bias.org/vocab/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,0.0028958344
http://bias.org/vocab/film/film/written_by,0.0028921596
http://bias.org/vocab/people/person/languages,0.0028774599
http://bias.org/vocab/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,0.0027929367
http://bias.org/vocab/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,0.0027929367
http://bias.org/vocab/organization/role/leaders./organization/leadership/organization,0.0027782372
http://bias.org/vocab/music/group_member/membership./music/group_membership/role,0.0027561877
http://bias.org/vocab/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,0.002745163
http://bias.org/vocab/people/cause_of_death/people,0.0027084136
http://bias.org/vocab/business/job_title/people_with_this_title./business/employment_tenure/company,0.0026973889
http://bias.org/vocab/education/educational_institution/school_type,0.0026753396
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/state_province_region,0.002649615
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,0.0026349153
http://bias.org/vocab/people/deceased_person/place_of_death,0.0025540672
