p,percentage
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.033112418
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_region,0.026685737
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award,0.025199631
http://bias.org/vocab/award/award_category/nominees./award/award_nomination/award_nominee,0.025181003
http://bias.org/vocab/people/person/profession,0.024084017
http://bias.org/vocab/people/profession/people_with_this_profession,0.023899807
http://bias.org/vocab/film/actor/film./film/performance/film,0.019650538
http://bias.org/vocab/film/film/starring./film/performance/actor,0.019592583
http://bias.org/vocab/award/award_category/nominees./award/award_nomination/nominated_for,0.019590514
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/award,0.0195367
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award_winner,0.017450357
http://bias.org/vocab/film/film_genre/films_in_this_genre,0.015173593
http://bias.org/vocab/film/film/genre,0.015043196
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.01299411
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/award_nominee,0.012824387
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,0.012613269
http://bias.org/vocab/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,0.01250357
http://bias.org/vocab/music/genre/artists,0.01231936
http://bias.org/vocab/common/topic/webpage./common/webpage/category,0.012304871
http://bias.org/vocab/common/annotation_category/annotations./common/webpage/topic,0.012267615
http://bias.org/vocab/music/artist/genre,0.0121248
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award,0.011785355
http://bias.org/vocab/award/award_category/winners./award/award_honor/award_winner,0.011756378
http://bias.org/vocab/location/location/contains,0.01077116
http://bias.org/vocab/location/location/containedby,0.010733904
http://bias.org/vocab/people/person/nationality,0.0086889565
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,0.007854833
http://bias.org/vocab/people/person/places_lived./people/place_lived/location,0.0077409954
http://bias.org/vocab/people/person/gender,0.0077016694
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.007244247
http://bias.org/vocab/sports/sports_team/roster./sports/sports_team_roster/position,0.007186293
http://bias.org/vocab/award/award_category/winners./award/award_honor/honored_for,0.0068530575
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award,0.006850988
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/honored_for,0.0062279827
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award_winner,0.0062031453
http://bias.org/vocab/people/person/spouse_s./people/marriage/type_of_union,0.006021004
http://bias.org/vocab/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,0.00596512
http://bias.org/vocab/award/award_category/winners./award/award_honor/ceremony,0.0058678403
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/award,0.0057643508
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/ceremony,0.005654652
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/award_winner,0.005646373
http://bias.org/vocab/media_common/netflix_genre/titles,0.0055283955
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/role,0.0054952786
http://bias.org/vocab/media_common/netflix_title/netflix_genres,0.00548286
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/student,0.005464232
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/major_field_of_study,0.005426976
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/institution,0.0053648823
http://bias.org/vocab/people/person/education./education/education/institution,0.0053628124
http://bias.org/vocab/film/film/language,0.005319347
