p,percentage
http://bias.org/vocab/_hypernym,0.40021288
http://bias.org/vocab/_derivationally_related_form,0.34264487
http://bias.org/vocab/_member_meronym,0.08524456
http://bias.org/vocab/_has_part,0.05528854
http://bias.org/vocab/_synset_domain_topic_of,0.03585906
http://bias.org/vocab/_instance_hypernym,0.033869874
http://bias.org/vocab/_also_see,0.015010268
http://bias.org/vocab/_verb_group,0.013117856
http://bias.org/vocab/_member_of_domain_region,0.010569552
http://bias.org/vocab/_member_of_domain_usage,0.0072578304
http://bias.org/vocab/_similar_to,9.2470134E-4
