p,percentage
http://bias.org/vocab/P31,0.18626918
http://bias.org/vocab/P17,0.06668761
http://bias.org/vocab/P27,0.05560529
http://bias.org/vocab/P106,0.053403515
http://bias.org/vocab/P54,0.044603013
http://bias.org/vocab/P131,0.044582445
http://bias.org/vocab/P19,0.041523352
http://bias.org/vocab/P735,0.04066778
http://bias.org/vocab/P161,0.024943195
http://bias.org/vocab/P641,0.02355964
http://bias.org/vocab/P69,0.02133002
http://bias.org/vocab/P47,0.020848073
http://bias.org/vocab/P421,0.019634496
http://bias.org/vocab/P105,0.018152125
http://bias.org/vocab/P136,0.01795173
http://bias.org/vocab/P171,0.016911287
http://bias.org/vocab/P20,0.013537169
http://bias.org/vocab/P495,0.012655305
http://bias.org/vocab/P1412,0.011578187
http://bias.org/vocab/P1344,0.010798533
http://bias.org/vocab/P175,0.008896551
http://bias.org/vocab/P166,0.008846489
http://bias.org/vocab/P413,0.008779691
http://bias.org/vocab/P264,0.0074755945
http://bias.org/vocab/P155,0.007227029
http://bias.org/vocab/P156,0.0068720323
http://bias.org/vocab/P364,0.006622594
http://bias.org/vocab/P361,0.006609108
http://bias.org/vocab/P102,0.0061357953
http://bias.org/vocab/P150,0.005267368
http://bias.org/vocab/P734,0.005252524
http://bias.org/vocab/P57,0.004828449
http://bias.org/vocab/P463,0.0046766126
http://bias.org/vocab/P279,0.004644111
http://bias.org/vocab/P407,0.0045598974
http://bias.org/vocab/P159,0.004004603
http://bias.org/vocab/P108,0.0038873053
http://bias.org/vocab/P39,0.003694963
http://bias.org/vocab/P3373,0.0036680882
http://bias.org/vocab/P937,0.0034745818
http://bias.org/vocab/P607,0.0034173883
http://bias.org/vocab/P360,0.0031986565
http://bias.org/vocab/P527,0.0031931747
http://bias.org/vocab/P40,0.00315068
http://bias.org/vocab/P86,0.0030510405
http://bias.org/vocab/P162,0.0028667992
http://bias.org/vocab/P50,0.0028081504
http://bias.org/vocab/P137,0.0027248587
http://bias.org/vocab/P141,0.0025224262
http://bias.org/vocab/P22,0.0024233202
http://bias.org/vocab/P1343,0.0023757317
http://bias.org/vocab/P58,0.0023733063
http://bias.org/vocab/P26,0.0022574158
http://bias.org/vocab/P123,0.0022109917
http://bias.org/vocab/P1303,0.0020636665
http://bias.org/vocab/P1196,0.0020583305
http://bias.org/vocab/P400,0.001974214
http://bias.org/vocab/P190,0.0019176998
http://bias.org/vocab/P241,0.0018590026
http://bias.org/vocab/P138,0.0018337289
http://bias.org/vocab/P344,0.0017321488
http://bias.org/vocab/P119,0.001663701
http://bias.org/vocab/P276,0.0016458979
http://bias.org/vocab/P127,0.0016190718
http://bias.org/vocab/P750,0.0015991827
http://bias.org/vocab/P140,0.0015311716
http://bias.org/vocab/P1346,0.0015042485
http://bias.org/vocab/P462,0.0014903261
http://bias.org/vocab/P3450,0.001465295
http://bias.org/vocab/P449,0.0014605409
http://bias.org/vocab/P509,0.0014376927
http://bias.org/vocab/P176,0.0014344426
http://bias.org/vocab/P172,0.0013536247
http://bias.org/vocab/P197,0.0012959463
http://bias.org/vocab/P840,0.0012557314
http://bias.org/vocab/P921,0.0012211438
http://bias.org/vocab/P404,0.0012154682
http://bias.org/vocab/P179,0.0011237356
http://bias.org/vocab/P1411,0.001118351
http://bias.org/vocab/P272,0.0010929802
http://bias.org/vocab/P118,0.0010443731
http://bias.org/vocab/P180,0.0010399587
http://bias.org/vocab/P36,0.0010076026
http://bias.org/vocab/P30,9.960571E-4
http://bias.org/vocab/P101,9.901389E-4
http://bias.org/vocab/P81,9.797092E-4
http://bias.org/vocab/P103,9.774292E-4
http://bias.org/vocab/P706,9.028208E-4
http://bias.org/vocab/P178,8.996191E-4
http://bias.org/vocab/P710,8.975817E-4
http://bias.org/vocab/P170,8.4582146E-4
http://bias.org/vocab/P915,8.103606E-4
http://bias.org/vocab/P282,8.091963E-4
http://bias.org/vocab/P149,8.0502447E-4
http://bias.org/vocab/P410,7.9619564E-4
http://bias.org/vocab/P25,7.954195E-4
http://bias.org/vocab/P84,7.6063775E-4
http://bias.org/vocab/P1435,7.5845484E-4
http://bias.org/vocab/P1889,7.5224554E-4
http://bias.org/vocab/P740,7.361402E-4
http://bias.org/vocab/P1269,7.146017E-4
http://bias.org/vocab/P186,6.952947E-4
http://bias.org/vocab/P1040,6.928692E-4
http://bias.org/vocab/P800,6.898616E-4
http://bias.org/vocab/P53,6.6730444E-4
http://bias.org/vocab/P703,6.671104E-4
http://bias.org/vocab/P126,6.5973686E-4
http://bias.org/vocab/P403,6.53188E-4
http://bias.org/vocab/P112,6.3747074E-4
http://bias.org/vocab/P452,6.0040905E-4
http://bias.org/vocab/P460,5.6863495E-4
http://bias.org/vocab/P135,5.6698563E-4
http://bias.org/vocab/P1057,5.6388095E-4
http://bias.org/vocab/P793,5.534998E-4
http://bias.org/vocab/P2416,5.437978E-4
http://bias.org/vocab/P551,5.4011104E-4
http://bias.org/vocab/P16,5.3259195E-4
http://bias.org/vocab/P437,4.864589E-4
http://bias.org/vocab/P1923,4.8204447E-4
http://bias.org/vocab/P115,4.7806665E-4
http://bias.org/vocab/P466,4.377548E-4
http://bias.org/vocab/P144,4.3033276E-4
http://bias.org/vocab/P1441,4.2931404E-4
http://bias.org/vocab/P931,4.1286915E-4
http://bias.org/vocab/P664,4.089398E-4
http://bias.org/vocab/P725,3.9089407E-4
http://bias.org/vocab/P1066,3.9084555E-4
http://bias.org/vocab/P2094,3.8449076E-4
http://bias.org/vocab/P206,3.8444225E-4
http://bias.org/vocab/P184,3.7643808E-4
http://bias.org/vocab/P676,3.6906454E-4
http://bias.org/vocab/P59,3.6343737E-4
http://bias.org/vocab/P366,3.5397793E-4
http://bias.org/vocab/P61,3.5160093E-4
http://bias.org/vocab/P991,3.510673E-4
http://bias.org/vocab/P1142,3.4888438E-4
http://bias.org/vocab/P1454,3.442759E-4
http://bias.org/vocab/P559,3.409287E-4
http://bias.org/vocab/P183,3.3137223E-4
http://bias.org/vocab/P195,3.2938333E-4
http://bias.org/vocab/P412,3.25454E-4
http://bias.org/vocab/P1376,3.245323E-4
http://bias.org/vocab/P1064,3.2317403E-4
http://bias.org/vocab/P306,3.2142768E-4
http://bias.org/vocab/P674,3.1939024E-4
http://bias.org/vocab/P2597,3.094942E-4
http://bias.org/vocab/P97,3.0056835E-4
http://bias.org/vocab/P2348,2.9062378E-4
http://bias.org/vocab/P289,2.8053368E-4
http://bias.org/vocab/P1001,2.7592524E-4
http://bias.org/vocab/P414,2.7374228E-4
http://bias.org/vocab/P737,2.708317E-4
http://bias.org/vocab/P479,2.6835766E-4
http://bias.org/vocab/P1056,2.6554408E-4
http://bias.org/vocab/P2554,2.6360367E-4
http://bias.org/vocab/P287,2.6079008E-4
http://bias.org/vocab/P530,2.6069308E-4
http://bias.org/vocab/P512,2.5860715E-4
http://bias.org/vocab/P802,2.5618164E-4
http://bias.org/vocab/P749,2.5244636E-4
http://bias.org/vocab/P611,2.488566E-4
http://bias.org/vocab/P1408,2.4468475E-4
http://bias.org/vocab/P2789,2.4376306E-4
http://bias.org/vocab/P275,2.3954269E-4
http://bias.org/vocab/P37,2.3891205E-4
http://bias.org/vocab/P1080,2.3638953E-4
http://bias.org/vocab/P177,2.3153852E-4
http://bias.org/vocab/P708,2.3110193E-4
http://bias.org/vocab/P4552,2.285309E-4
http://bias.org/vocab/P1038,2.2571732E-4
http://bias.org/vocab/P277,2.2144843E-4
http://bias.org/vocab/P286,2.2101184E-4
http://bias.org/vocab/P1995,2.2067227E-4
http://bias.org/vocab/P1427,2.0936942E-4
http://bias.org/vocab/P21,2.0548863E-4
http://bias.org/vocab/P974,2.0262653E-4
http://bias.org/vocab/P1192,1.9171176E-4
http://bias.org/vocab/P1071,1.909356E-4
http://bias.org/vocab/P1050,1.9083859E-4
http://bias.org/vocab/P355,1.8865563E-4
http://bias.org/vocab/P358,1.8477482E-4
http://bias.org/vocab/P647,1.812336E-4
http://bias.org/vocab/P488,1.8084551E-4
http://bias.org/vocab/P3912,1.7390857E-4
http://bias.org/vocab/P541,1.7347198E-4
http://bias.org/vocab/P6,1.6881502E-4
http://bias.org/vocab/P609,1.6789332E-4
http://bias.org/vocab/P516,1.6702015E-4
http://bias.org/vocab/P3018,1.658559E-4
http://bias.org/vocab/P1399,1.6561335E-4
http://bias.org/vocab/P1365,1.6401253E-4
http://bias.org/vocab/P1366,1.6027724E-4
http://bias.org/vocab/P1877,1.5901598E-4
http://bias.org/vocab/P2293,1.5891896E-4
http://bias.org/vocab/P1431,1.5557178E-4
http://bias.org/vocab/P196,1.5319478E-4
http://bias.org/vocab/P485,1.480042E-4
http://bias.org/vocab/P376,1.4591827E-4
http://bias.org/vocab/P1990,1.455787E-4
http://bias.org/vocab/P65,1.4402637E-4
http://bias.org/vocab/P3022,1.4038812E-4
http://bias.org/vocab/P2176,1.3810815E-4
http://bias.org/vocab/P2175,1.3379075E-4
http://bias.org/vocab/P2321,1.3369373E-4
http://bias.org/vocab/P451,1.3117121E-4
http://bias.org/vocab/P1313,1.2617467E-4
http://bias.org/vocab/P2515,1.244283E-4
http://bias.org/vocab/P121,1.2374917E-4
http://bias.org/vocab/P113,1.1768541E-4
http://bias.org/vocab/P467,1.1167016E-4
http://bias.org/vocab/P1383,1.0914764E-4
http://bias.org/vocab/P411,1.0866254E-4
http://bias.org/vocab/P3137,1.0808042E-4
http://bias.org/vocab/P2868,1.0788638E-4
http://bias.org/vocab/P1716,1.0662511E-4
http://bias.org/vocab/P408,1.03666E-4
http://bias.org/vocab/P1327,1.03617494E-4
http://bias.org/vocab/P1598,1.03326434E-4
http://bias.org/vocab/P375,1.0308388E-4
http://bias.org/vocab/P826,1.02162194E-4
http://bias.org/vocab/P371,9.973669E-5
http://bias.org/vocab/P520,9.8960525E-5
http://bias.org/vocab/P610,9.794182E-5
http://bias.org/vocab/P736,9.769927E-5
http://bias.org/vocab/P3279,9.677757E-5
http://bias.org/vocab/P2632,9.522525E-5
http://bias.org/vocab/P4000,9.410952E-5
http://bias.org/vocab/P945,9.148998E-5
http://bias.org/vocab/P2358,9.0422756E-5
http://bias.org/vocab/P1532,8.8967456E-5
http://bias.org/vocab/P2541,8.799725E-5
http://bias.org/vocab/P825,8.790023E-5
http://bias.org/vocab/P200,8.688152E-5
http://bias.org/vocab/P2978,8.67845E-5
http://bias.org/vocab/P461,8.605685E-5
http://bias.org/vocab/P769,8.591132E-5
http://bias.org/vocab/P1029,8.566877E-5
http://bias.org/vocab/P87,8.528069E-5
http://bias.org/vocab/P417,8.498963E-5
http://bias.org/vocab/P98,8.455304E-5
http://bias.org/vocab/P1444,8.2855186E-5
http://bias.org/vocab/P2564,8.2321574E-5
