Degree,Count
1,14848
7,192
3,3634
10,56
444,1
2,8646
15,17
12,48
11,51
286,1
22,24
677,1
5,604
4,1494
30,7
867,1
257,1
25,8
409,1
8,117
119,2
107,2
719,1
50,2
36,4
17,18
833,1
248,1
19,16
20,16
102,1
9,76
430,1
73,1
545,1
24,10
96,1
21,15
194,1
16,23
553,1
6,283
33,8
144,2
48,2
14,32
45,3
169,1
61,3
275,1
528,1
77,1
71,2
76,1
669,1
411,1
221,2
95,2
18,19
47,2
23,9
28,6
62,1
38,5
299,1
70,1
46,3
27,3
80,1
208,1
83,1
29,4
13,28
44,5
58,4
303,1
78,1
34,6
26,10
81,1
39,5
261,1
31,5
41,2
53,1
65,1
304,1
54,3
82,1
35,4
56,1
42,2
55,1
189,1
37,1
84,1
127,1
32,3
49,1
143,1
43,3
40,1
66,1
60,1
51,1
