Degree,Count
44,155
46,118
100,15
20,294
41,184
55,89
7,397
230,1
73,39
2004,1
62,54
83,22
22,238
986,1
59,61
769,1
150,7
57,84
80,30
10,379
52,97
48,129
49,101
222,2
16,255
3275,1
28,222
68,43
12,367
484,1
202,2
143,1
103,7
370,1
69,33
1643,1
27,215
54,97
11,376
149,7
137,6
389,1
115,10
37,213
102,9
771,1
72,37
431,1
25,223
3567,1
24,234
207,1
47,127
81,25
165,4
18,245
14,305
35,207
82,19
145,2
56,67
199,2
66,44
595,1
71,23
551,1
5,339
1292,2
94,19
4364,1
715,1
45,142
114,15
118,5
117,12
208,3
17,269
3679,1
111,10
106,7
86,19
51,87
436,1
13,337
88,21
58,72
98,18
123,5
494,2
89,14
6,383
164,4
40,197
140,4
161,4
467,1
38,179
33,205
34,224
239,2
42,160
78,24
95,16
170,5
136,6
212,1
173,4
583,1
23,179
146,9
32,204
19,261
1073,1
61,56
252,3
119,11
76,32
26,182
518,1
101,13
91,14
50,93
224,4
77,27
75,32
234,1
160,4
336,1
104,10
233,1
181,4
128,4
67,29
990,1
129,8
107,14
21,246
748,1
31,193
43,136
64,48
1088,1
8,441
843,1
314,2
29,198
7334,1
110,11
135,6
719,1
84,27
534,1
242,2
30,195
171,1
331,1
157,5
167,1
1636,1
474,2
266,1
363,1
36,195
404,2
142,7
4,287
458,1
53,85
70,36
92,11
193,2
196,1
96,12
223,2
622,2
564,1
65,48
120,3
408,1
85,22
449,1
15,281
450,2
537,1
99,16
340,1
442,1
2767,1
151,4
218,2
459,1
1314,1
247,2
105,9
131,6
197,2
302,1
775,1
93,20
346,1
162,3
39,159
670,1
126,9
219,2
60,45
913,1
79,26
401,1
116,9
109,13
121,7
315,2
691,1
97,16
166,2
63,54
292,1
184,1
1053,1
148,3
1101,1
192,1
301,1
90,16
491,2
403,2
158,4
243,1
159,5
3188,1
334,1
390,1
3,311
739,1
352,1
457,1
316,1
9,394
506,1
153,8
329,1
200,2
125,7
476,1
108,21
174,6
983,1
392,1
201,3
147,3
710,1
511,1
493,2
366,1
155,3
360,1
272,1
284,2
226,1
288,1
175,2
191,2
373,1
133,2
74,31
177,2
186,1
479,1
180,2
182,1
139,4
183,5
113,7
87,21
951,1
513,1
195,2
971,1
447,1
122,8
816,1
562,1
228,2
330,1
144,6
320,1
482,1
2,248
112,7
141,4
654,2
421,1
469,1
134,4
187,3
425,1
355,1
132,3
608,1
204,3
480,1
433,1
325,1
238,1
814,1
367,2
216,2
152,4
274,1
130,6
1034,1
1,319
452,1
237,1
245,1
290,1
163,1
529,1
217,2
454,1
377,1
214,3
628,1
354,1
976,1
547,1
361,1
304,1
348,2
276,1
477,1
324,1
286,1
210,1
179,3
127,4
285,1
347,2
206,5
503,1
396,1
307,1
259,2
437,1
496,1
434,1
264,1
168,1
399,1
322,1
402,1
198,1
232,1
172,1
478,1
189,1
693,1
545,1
462,1
312,1
291,1
220,1
156,2
262,1
124,3
154,2
221,2
862,1
295,1
185,1
178,3
310,1
235,1
138,1
260,1
169,1
391,1
269,1
