Degree,Count
354,2
121,13
26,202
8876,1
54,162
49,112
266,3
8,412
15,174
12,390
655,1
264,7
8752,1
20,275
71,90
670,1
22,210
148,10
278,3
750,2
73,85
62,151
50,175
5735,1
1477,1
68,144
144,15
72,108
416,2
30,172
63,107
90,62
1513,1
456,1
88,67
24,199
76,89
39,128
42,162
11,170
175,9
203,4
51,104
66,134
109,23
200,3
344,4
31,145
36,179
1960,1
87,40
868,1
100,49
35,112
34,159
1032,1
236,4
77,73
209,2
23,144
70,130
202,6
69,80
186,7
105,24
152,16
55,129
822,1
60,140
730,1
103,26
168,14
125,14
29,125
40,149
374,1
47,103
2148,1
1104,1
158,17
18,250
985,1
923,1
74,89
272,3
3308,1
85,55
220,5
75,81
32,164
56,183
1088,1
84,79
38,169
52,157
89,42
106,22
83,53
1076,1
53,116
166,13
502,1
48,150
976,1
46,145
360,3
43,108
696,1
151,9
17,151
58,147
430,1
78,87
16,263
140,9
123,15
9,162
98,47
910,1
96,35
86,85
65,99
188,11
574,1
1525,3
1630,1
181,3
156,17
61,112
115,17
760,1
95,34
1734,1
110,28
410,2
305,1
94,53
3675,1
45,93
318,2
746,1
134,27
1147,1
92,55
342,3
1273,1
310,3
174,8
91,45
154,12
324,4
143,9
112,25
1438,1
59,116
871,1
44,149
79,76
484,1
81,50
350,1
1468,1
5539,1
812,1
111,21
57,109
496,3
145,6
631,1
163,4
240,4
464,2
124,18
218,6
336,1
2609,1
119,15
455,1
536,1
304,2
180,6
370,1
394,2
284,5
99,39
64,130
82,70
590,1
766,1
3372,1
2439,1
371,1
2,310
663,1
1159,1
25,140
14,376
122,14
67,103
167,5
6848,1
136,19
252,5
1252,1
155,6
306,4
755,1
80,80
27,119
37,117
201,2
716,1
372,1
1922,1
104,37
514,1
616,1
232,4
792,1
138,13
33,117
131,8
559,1
1112,1
721,1
226,4
19,139
512,1
142,9
262,4
800,1
164,11
558,1
149,4
108,33
478,1
562,1
118,25
28,191
734,1
414,2
169,7
1448,1
177,3
297,1
208,4
184,8
302,3
133,9
366,3
1136,1
190,6
349,1
246,2
544,2
238,3
120,26
322,1
772,1
1167,1
5,81
260,2
170,14
194,6
960,1
102,34
444,1
107,17
1071,1
958,2
312,3
282,2
340,2
1624,1
228,2
2000,1
585,1
13,186
955,1
127,8
21,129
176,11
212,4
990,1
128,20
10,354
130,19
116,29
547,1
890,1
732,1
300,3
137,7
187,1
678,1
237,2
132,12
949,1
1126,1
199,5
368,1
192,7
206,9
1033,1
195,2
472,1
1065,1
298,3
165,4
301,1
408,2
1386,1
489,1
41,100
1248,1
362,1
492,1
1498,1
216,6
373,1
508,2
385,1
117,12
426,1
126,22
172,7
135,7
6,364
173,4
314,2
157,7
534,1
740,1
230,2
532,2
146,13
698,1
227,4
2176,1
189,3
233,5
355,1
159,4
518,1
280,3
554,1
251,1
198,9
269,1
178,6
446,1
101,29
277,1
486,1
214,3
292,4
379,1
7,93
577,1
674,1
210,6
748,1
162,11
543,1
411,1
150,10
640,1
658,1
147,7
1739,1
114,28
1030,1
97,23
588,1
805,2
443,1
182,13
204,3
694,1
160,11
129,5
217,2
500,1
234,3
1156,1
469,2
626,2
553,1
153,4
926,1
396,2
586,1
327,1
183,3
581,2
211,1
448,1
191,2
627,1
436,1
447,1
222,3
288,1
316,3
706,1
348,2
4,301
93,21
321,2
329,1
196,3
243,1
320,2
818,1
219,3
412,1
291,1
602,1
952,1
358,1
139,7
434,1
511,1
624,1
225,2
307,1
578,1
270,4
338,2
296,3
608,1
171,3
709,1
376,1
113,11
488,1
407,1
435,1
702,1
3,42
274,2
589,1
820,1
311,1
404,1
392,1
386,3
141,5
346,1
356,1
359,1
604,1
205,1
326,1
452,1
325,1
254,2
380,1
255,1
402,1
242,3
250,2
384,1
1022,1
223,2
215,1
263,1
687,1
479,1
161,3
244,1
294,2
248,2
258,1
328,2
473,1
345,1
193,1
179,1
290,3
276,2
259,1
185,1
247,1
773,1
273,1
308,1
1,25
