Degree,Count
12,1254
10,2098
96,3
2,6083
6,9062
36,63
202,1
370,1
28,102
18,405
44,25
8,3954
4,14418
502,1
16,598
54,12
14,855
132,2
39,1
118,4
26,129
20,301
30,95
490,1
24,168
42,44
32,71
1040,1
38,29
996,1
40,36
22,222
56,15
304,1
732,1
248,1
52,22
108,2
34,55
17,22
214,1
50,23
66,9
150,2
60,12
82,6
144,4
821,1
314,1
394,1
458,1
120,1
550,1
64,8
228,1
130,2
112,2
86,4
114,3
76,6
9,60
70,8
530,1
208,1
13,26
156,3
48,21
104,2
106,5
430,1
58,15
170,2
46,23
148,2
597,1
7,82
72,5
84,6
25,7
134,1
33,4
510,1
234,1
15,17
5,114
63,1
92,4
222,2
68,7
153,1
160,2
312,1
152,1
137,1
98,4
166,2
83,1
310,1
410,1
62,11
612,1
23,11
288,1
110,4
102,3
100,4
212,1
37,4
124,2
11,40
80,7
3,81
31,2
466,1
43,2
78,4
116,3
74,3
186,2
88,3
90,4
276,1
356,1
29,7
41,2
258,1
590,1
302,1
128,1
94,3
452,1
55,1
45,2
140,1
21,10
172,1
136,2
162,1
126,1
27,4
19,10
35,4
57,1
47,1
1,5
