Degree,Count
4,3664
3,9369
215,1
8,948
12,336
2,9740
6,1823
10,572
111,3
7,1731
5,3821
17,107
11,518
1,5767
15,206
108,1
9,859
13,283
62,1
72,3
26,30
25,34
18,109
34,5
23,40
20,66
47,4
521,1
33,14
140,1
233,1
295,1
39,5
35,14
21,64
16,137
78,1
48,3
88,2
178,1
32,12
152,1
153,1
81,3
22,45
245,1
226,1
67,2
40,8
14,227
29,27
80,2
206,1
19,73
42,7
55,4
117,1
28,18
156,1
415,1
38,8
30,15
52,6
255,1
251,1
282,1
36,9
27,20
71,1
75,3
85,2
185,1
499,1
24,47
367,1
124,1
59,5
113,1
101,1
73,1
306,1
44,7
37,10
56,4
58,4
43,6
70,3
50,6
61,1
68,2
84,1
83,1
104,1
31,9
49,2
229,1
41,4
301,1
46,4
60,1
197,1
155,1
51,1
107,1
265,1
144,1
157,1
76,2
57,2
54,2
129,1
65,2
45,3
63,2
64,2
119,1
66,1
53,1
