Degree,Count
7,225388
41936,1
5,371814
333,15
6,277223
9,135531
4,594192
18,22341
20409,1
11,81444
813,3
86595,1
16,30064
54516,1
1,660069
388,12
14,42569
2,609967
13168,1
10,102941
562,7
3,908105
51,873
554,2
3834,1
1520434,1
21938,1
1045,2
26508,1
19,19132
643,5
18217,1
54494,1
8,175271
184,45
21976,1
810792,1
12798,1
8098,1
112,125
76072,1
42791,1
1152,1
39570,1
759,5
94,190
221052,1
196,35
15,37236
12,62972
9135,1
9496,1
54,677
60,524
805,6
16380,1
8670,1
361237,1
1996,1
85,235
34,2643
387,9
144296,1
263004,1
39558,1
25,7122
20,16059
36,2212
43,1276
403,9
284696,1
21,13733
461,9
17,26835
6562,1
1960,1
5841,1
2862,1
615,8
117793,1
2155,1
111854,1
228903,1
12482,1
9042,1
75510,1
663,4
1653,2
7062,1
8467,1
98362,1
509,5
3967,2
15803,1
1866,1
5479,1
15374,1
24,8195
7739,1
131061,1
1521,1
13,52496
260,23
23700,1
42,1393
5298,1
21949,1
1784,2
29,4206
314,9
114,124
1729,1
547,7
459,9
9415,1
25877,1
27469,1
30289,1
35,2277
370,10
363,14
44,1243
12053,1
164214,1
52,801
966,1
170,52
5276,1
38,1879
99266,1
2894,2
14714,1
238,24
279,17
6968,1
53,807
45,1171
2969,1
70,358
8761,1
23,9719
135,94
736,2
16104,1
58,613
523,6
472,9
197,48
22,11386
4759,1
25812,1
218,31
2046,2
323,17
116,130
585,7
10784,1
10995,1
456,14
66,422
1959,2
1409,1
36808,1
38855,1
104597,1
67,413
843,5
1727,1
123901,1
79774,1
8245,1
5844,1
11504,1
282,22
9666,1
2117,1
41,1448
4102,1
37,2049
211,40
5352,1
125,108
12573,1
5153,1
444,11
614,4
397,12
91,193
2586,1
105643,1
78,279
60315,1
20076,1
31109,1
48,988
505,2
1133,3
80,270
706,3
3993,1
121,101
149913,1
1616,2
69,358
30787,1
865,2
2440,1
3139,2
6602,1
27235,1
1123,2
98,158
526,6
4302,1
55,669
39,1656
1626,2
5740,1
253,19
31,3346
88,224
26,6069
100,172
13440,1
494,10
217,40
291,9
15315,1
3562,1
149,68
14644,1
110,129
23205,1
2951,1
467,8
28,4725
14593,1
668,5
104,147
1100,1
276,25
6726,1
18265,1
27641,1
838,4
601,7
127,89
151,65
411,11
50,907
1654,1
37164,1
26876,1
32,3128
816,3
797,1
9424,1
3725,1
31850,1
192,36
2434,2
23201,1
219,32
1343,1
6443,1
29183,1
4986,1
1151,2
3986,1
142,67
71110,1
284,18
16679,1
13090,1
68,437
33,2786
8200,1
189,40
1200,3
21207,1
18419,1
8561,1
163,54
2316,1
255,28
30,3681
941,3
49,903
8492,1
1810,3
27,5438
20025,1
10098,1
14371,1
396,10
5249,1
103464,1
711,2
47625,1
686,3
847,2
120,119
46289,1
1164,2
7276,1
2373,2
63,457
40358,1
1741,4
3925,1
245,33
17325,1
5237,1
9550,1
18848,1
4324,1
4130,1
1109,4
117,124
5916,1
12169,1
191,31
696,6
1707,2
3632,1
6799,1
717,3
21048,1
10280,1
141,71
328,15
1063,3
531,8
82,265
652,5
940,4
13128,1
2513,2
15641,1
1028,1
5678,2
248,23
9299,1
205,30
44544,1
201,30
469,7
985,4
1280,1
23938,1
446,10
4625,1
358,14
591,4
7097,1
500,6
59,574
677,4
6478,1
4881,1
481,5
6101,1
679,4
6902,1
790,5
5311,1
9783,1
95,189
426,6
272,19
931,3
35272,1
33729,1
743,4
4028,1
19091,1
237,25
71,364
10542,2
2439,1
8028,1
74,385
3078,1
2413,1
9848,1
1752,1
174,42
165,54
115,132
32235,1
3525,1
123,95
1464,1
345,8
448,6
21672,1
2645,1
79,292
86,235
234,27
7802,1
36925,1
4546,2
1830,1
1812,1
159,54
251,23
3554,1
3190,1
1373,3
4251,1
34730,1
64,453
273,17
19908,1
75,340
46,1129
1111,1
203,42
14533,1
158,43
5528,1
4980,1
1017,1
286,15
560,7
1433,2
206,33
1688,3
92,211
7932,1
867,2
90,191
1118,3
307,13
532,6
2430,1
20516,1
19487,1
2134,1
4163,1
3665,3
301,20
1042,3
6808,1
1407,3
148,56
1875,2
109,123
1674,1
3001,1
19323,1
2081,1
220,31
428,11
7094,1
1283,1
515,6
28362,1
3983,1
200,43
178,56
7580,1
185,43
7313,1
2211,1
618,4
2643,1
244,32
5198,1
268,16
1597,1
10149,1
57900,1
281,20
4988,2
57,572
671,1
12750,1
155,68
21431,1
1574,2
1677,1
4828,1
810,2
360,15
369,11
306,15
241,25
3908,1
408,12
10658,1
4069,1
10318,1
12660,1
11534,1
1210,4
147,75
136,94
1312,2
16447,1
9527,1
2741,1
1847,1
458,7
4191,1
61,489
1380,2
16089,1
40,1601
415,10
73,348
3557,1
1252,1
258,37
226,20
223,29
1743,1
429,7
2542,1
510,10
15829,1
11185,1
3549,1
13597,1
1050,3
77,311
13648,1
798,3
497,4
1699,2
1196,3
130,76
283,19
886,1
3881,1
309,22
374,11
293,18
1525,1
181,53
1516,3
3579,2
103,149
16370,1
8054,1
11039,1
10262,1
7954,1
1371,2
3544,1
106,150
1645,2
133,87
852,2
492,5
34311,1
17538,1
2361,1
102,144
182,51
1376,1
398,11
1833,3
225,37
249,26
524,7
7136,1
2822,1
6207,1
56,662
3314,1
3185,1
89,233
1520,1
971,2
1440,1
5034,1
111,114
16880,1
65,448
3279,1
1400,3
416,11
903,2
14297,1
849,2
119,109
455,5
145,73
38575,1
247,24
113,113
927,1
243,30
589,3
18421,1
1218,1
5693,1
603,6
4285,1
24267,1
1867,2
1790,2
460,10
7488,1
3608,1
193,47
12765,1
300,23
5600,2
10538,1
714,3
1278,1
167,41
381,11
228,28
1320,1
5107,1
1027,3
2266,1
4241,1
10931,1
347,15
994,2
625,4
978,2
613,1
2249,1
1286,3
263,28
2852,1
176,46
1687,1
854,1
2739,1
608,3
10034,1
817,4
2147,3
732,3
1034,1
611,3
2016,1
2228,1
1720,2
8462,1
9256,1
212,32
122,102
154,54
640,3
164,52
1029,1
2000,1
2596,2
520,4
2990,1
1085,1
2150,2
1663,1
1539,1
143,54
5022,1
7122,1
445,9
2165,1
233,21
166,48
450,6
17334,1
47,1022
2569,1
124,110
3327,1
2600,2
918,1
2995,1
687,5
10534,1
799,2
62,504
1243,2
863,4
34220,1
204,26
718,4
488,8
105,165
3578,1
419,7
1524,1
350,12
2248,1
3067,1
815,2
729,3
15547,1
34850,1
14452,1
99,169
4313,1
6508,1
5533,1
538,6
1338,2
2686,1
2126,1
2530,3
707,5
683,5
7366,1
160,63
503,5
129,86
612,5
8994,1
1064,2
2653,1
2481,1
2698,1
215,29
128,89
5669,1
208,45
3889,1
97,183
826,5
1195,1
339,15
6495,1
1448,2
1115,2
2573,1
11054,1
1148,1
1332,3
1772,1
967,4
3859,1
317,6
1192,2
101,151
1643,3
620,2
17461,1
353,11
3200,1
72,346
1622,1
586,4
1154,2
20371,1
1073,2
685,3
331,12
437,5
319,9
4414,1
1126,2
6315,1
8041,1
1505,1
362,9
432,10
2906,1
207,38
7178,1
818,5
7098,1
1058,2
681,3
4810,1
10873,1
558,8
414,10
1043,1
891,2
541,7
2234,1
1219,1
619,3
24099,1
2340,1
4669,1
316,11
1108,2
1227,2
779,4
150,65
487,9
1061,2
1432,2
6923,1
297,23
827,2
3529,2
12990,1
9945,1
8018,1
5382,1
87,206
442,11
1582,1
138,87
673,7
8770,1
5167,1
292,19
1937,2
2685,1
1846,1
1546,3
873,2
1075,2
5919,1
2254,1
1121,2
4115,1
1822,2
2877,1
1163,2
514,7
11666,1
2232,1
3577,1
1007,1
2178,1
690,3
15860,1
23776,1
1666,4
171,50
7428,1
1639,1
1191,1
1774,1
2554,1
3497,1
394,10
901,2
3326,1
7604,1
933,3
188,46
156,63
4480,1
6894,1
1670,1
1669,1
637,3
4367,1
1082,1
12855,1
6339,1
1383,1
318,24
11029,1
3477,1
2175,2
2307,2
348,12
239,21
2778,1
152,74
267,13
3189,1
1119,1
3780,1
672,1
132,91
3144,1
2484,1
144,75
140,71
8500,1
412,11
311,15
877,4
735,2
1257,1
2163,1
6773,1
821,3
324,17
1925,4
4711,1
890,3
1985,1
916,3
83,242
179,50
2377,1
3416,1
254,16
118,124
2303,2
294,14
948,3
434,17
2501,1
3950,1
13856,1
544,6
2031,1
327,15
15489,1
172,58
1603,1
391,9
3843,1
6014,1
576,4
400,8
5074,1
5861,1
1411,2
436,11
10686,1
3701,1
1775,1
1182,2
793,3
1003,1
14731,1
10547,1
970,1
262,16
2194,2
2216,1
1501,1
210,29
1646,1
377,9
1072,3
1680,3
2850,2
820,4
202,35
402,7
3924,1
1805,1
1609,1
3492,1
859,3
1103,4
269,19
2993,2
131,83
308,18
559,6
1824,2
3887,1
435,6
6522,1
175,54
344,11
1159,2
81,266
715,3
14341,1
802,1
10305,1
9436,1
221,44
107,136
811,3
5132,1
1404,1
3187,1
1593,1
1585,1
6171,1
3560,1
399,7
3818,1
7397,1
584,3
2504,1
10259,1
3616,1
3638,1
1803,1
195,45
4897,1
420,6
2824,1
2389,2
7221,1
1384,2
425,17
11533,1
801,7
7311,1
1701,2
364,10
8915,1
807,4
383,9
10959,1
553,5
168,52
1506,1
15674,1
4576,1
596,5
84,243
289,20
325,16
2900,1
987,1
1713,1
490,7
285,18
16575,1
2026,1
454,5
1012,2
5459,1
858,5
988,2
1056,5
7123,1
315,13
15550,1
5239,1
1427,3
1558,1
198,33
4086,1
1913,1
3020,1
627,4
4936,1
2784,1
1845,1
15007,1
629,6
740,2
4530,1
177,47
3309,1
522,7
341,16
769,5
12735,1
491,8
1726,1
1279,1
298,15
902,3
1559,1
5163,1
791,3
2044,1
305,20
551,6
574,7
2252,1
336,12
137,78
674,3
3959,1
3076,2
822,2
6792,1
693,6
1514,2
1897,1
405,8
1615,1
5737,1
1035,1
587,4
960,3
1798,2
2704,1
14952,1
654,5
12546,1
2867,1
1459,1
274,13
2479,1
6851,1
485,4
1416,1
983,7
977,2
952,2
957,4
1990,1
6325,1
236,33
598,3
153,58
338,18
825,3
290,16
1423,1
1527,1
10675,1
1552,1
1652,2
1322,1
548,6
3920,1
2231,1
330,14
190,43
134,70
744,8
1806,3
4554,1
9052,1
4411,1
422,9
194,33
1612,2
780,1
552,3
277,17
1179,1
1655,1
2250,1
438,10
689,3
299,20
378,11
6002,1
5409,1
649,3
464,5
4868,1
1054,4
1441,1
974,2
722,1
593,6
5333,1
795,5
623,5
2132,1
581,3
224,27
4937,1
3522,1
1124,2
1756,1
1388,2
1157,2
1481,2
