Degree,Count
11,7636
39,77
12,5623
4,7405
14,3123
208,9
27,215
1646,1
8,11046
5167,1
29,173
9,10468
30,184
420,2
13,4164
112,9
10,10403
21,527
78,20
175,11
61604,1
91,24
12301,1
7,10794
15,2312
213,4
205,6
190,6
18,1020
59,44
33,121
101,25
71,31
6,10066
102,18
383,2
138,12
76,32
28,190
203,9
282,3
150,13
151,10
34,109
131,9
119,12
5,7213
288,4
702,1
53,48
114,13
116,14
48,75
111,12
476,2
36,82
201,6
143,10
258,4
281,1
3,7534
51,51
109,17
17,1283
195,8
550,2
79,26
183,6
84,28
385,1
297,3
390,3
64,58
444,2
38,100
320,3
24,331
75,45
115,16
194,6
118,19
23,359
633,1
47,74
204,9
177,11
169,12
20,605
22,456
345,2
99,17
171,15
247,3
472,2
441,1
271,2
16,1764
422,1
221,3
31,140
42,78
162,11
488,1
158,11
503,1
465,4
107,19
26,258
25,265
287,5
93,31
2,7710
206,6
219,5
160,7
325,2
1615,1
1859,1
405,1
123,8
87,23
37,91
179,8
45,68
538,1
370,5
49,63
196,8
468,1
426,1
480,2
97,23
89,23
90,17
400,3
261,1
237,3
240,7
245,3
314,2
152,6
473,2
371,2
157,7
56,54
40,99
88,19
95,26
547,1
105,27
522,2
62,40
356,2
60,56
124,13
122,13
524,1
307,3
234,2
19,779
223,7
174,10
100,15
167,8
280,2
335,2
610,2
110,22
103,17
210,4
113,12
1,4248
153,6
148,7
729,1
215,8
67,38
254,4
338,2
129,14
73,39
211,4
35,107
241,3
352,4
268,6
481,2
495,1
135,7
92,13
529,1
479,1
69,30
156,16
218,4
61,41
83,34
537,1
295,3
166,9
238,6
147,4
336,2
74,23
108,23
191,4
41,67
32,121
344,3
414,1
46,69
159,8
184,8
376,3
373,2
81,28
133,12
464,2
172,6
43,59
389,1
72,33
128,13
539,1
226,2
94,21
85,26
851,1
602,1
163,6
1353,1
520,1
396,2
301,5
496,1
235,1
989,1
106,21
483,2
548,1
70,24
80,26
58,37
586,1
86,30
260,3
117,15
52,60
65,22
963,1
77,25
262,4
188,5
404,1
164,8
251,2
440,1
189,7
55,50
132,9
68,42
270,2
263,1
1673,1
57,52
374,2
311,3
272,2
185,5
315,2
273,3
134,12
306,3
232,3
146,5
136,11
176,14
388,2
209,7
354,2
341,3
416,2
145,11
427,1
392,2
144,11
259,4
253,3
63,52
98,15
348,1
387,1
1190,1
207,3
130,19
283,4
525,1
434,2
44,68
409,2
294,1
50,67
353,3
198,9
212,6
317,1
364,2
155,9
1139,1
140,9
979,1
302,2
154,12
96,21
82,27
375,2
411,1
378,1
142,7
406,1
193,11
764,1
220,5
310,1
120,12
187,7
289,1
654,1
577,1
304,1
347,2
332,1
290,3
214,3
492,1
170,6
224,2
104,22
54,58
182,3
521,2
1055,1
535,3
161,7
458,1
489,2
359,1
293,1
415,1
331,2
216,4
276,2
362,4
678,1
394,1
255,2
66,41
493,1
186,4
372,2
367,1
222,2
127,13
217,5
329,1
363,1
494,1
384,3
551,1
511,1
231,3
296,2
197,8
397,1
527,1
543,1
248,3
358,1
141,12
269,2
165,4
233,5
137,10
357,1
227,4
126,17
621,1
391,2
275,3
534,1
849,1
121,14
192,6
168,4
461,1
284,4
199,5
249,2
285,1
181,4
340,2
252,2
267,2
626,1
274,2
246,6
278,1
428,1
377,1
1402,1
398,1
510,1
674,1
291,1
286,2
225,3
266,2
433,2
180,6
149,6
173,7
243,6
666,1
229,1
582,1
318,2
316,2
202,5
125,9
339,1
239,3
228,2
418,1
349,1
413,2
408,1
309,2
532,1
324,3
1059,1
620,1
470,2
556,1
139,10
596,1
477,1
244,2
279,2
545,1
403,1
256,3
308,1
250,4
368,1
401,2
200,2
322,1
265,1
299,1
257,3
533,1
455,1
466,1
292,2
559,1
513,1
361,1
300,1
328,1
230,1
512,1
380,2
178,2
242,1
453,1
319,1
