Degree,Count
1,13272
5,331
2,6729
7,133
3,2457
14,24
10,47
581,1
4,977
25,6
703,1
223,1
100,1
87,2
594,1
38,3
30,5
16,23
665,1
196,1
15,18
85,1
9,51
359,1
60,1
439,1
19,14
81,1
17,15
158,1
458,1
329,1
115,1
39,3
23,6
236,1
36,4
12,26
225,1
438,1
64,1
58,1
61,1
519,1
8,76
347,1
177,2
79,1
40,2
20,11
18,20
52,1
21,11
34,3
6,190
230,1
56,1
67,2
42,1
140,1
26,4
13,25
28,6
46,3
245,1
11,33
27,9
66,1
33,4
97,2
211,1
41,2
24,3
45,3
50,1
247,1
63,1
44,1
37,2
48,1
43,3
155,1
73,1
32,4
125,1
29,5
71,1
22,5
117,1
51,2
57,1
31,1
35,1
