Degree,Count
36,178
84,20
14,328
37,185
48,92
6,469
185,3
60,48
1738,1
57,57
77,22
49,86
621,1
124,8
52,80
71,36
9,435
47,100
40,151
44,112
181,2
2817,1
12,337
402,2
197,1
138,2
101,10
291,1
59,50
1429,1
25,243
17,299
125,3
317,1
95,13
695,1
367,2
22,224
2928,1
86,14
176,4
39,159
45,114
73,27
18,288
23,222
33,213
118,5
53,64
170,2
56,57
499,1
454,1
811,1
5,381
1282,1
51,75
50,86
74,20
3612,1
43,134
108,12
107,7
110,10
188,2
15,304
2992,1
94,14
31,232
75,23
11,435
26,226
376,1
76,17
32,214
109,9
416,2
78,26
141,5
130,8
58,48
380,1
34,194
30,217
72,26
219,3
35,178
114,6
68,36
93,9
160,4
177,1
38,156
149,2
27,203
41,156
873,1
85,16
64,32
21,263
443,2
96,12
81,19
194,3
66,36
63,44
200,2
61,46
91,15
211,2
16,303
139,4
102,13
20,267
609,2
28,239
10,436
7,476
698,1
13,355
29,222
268,1
24,252
142,5
119,8
6358,1
83,23
127,5
641,1
65,26
70,28
430,1
205,1
145,7
267,2
132,3
1332,1
404,2
227,1
320,1
4,356
152,4
333,1
117,4
392,2
169,2
80,16
491,1
492,2
42,109
19,264
98,10
348,1
88,19
400,1
135,7
441,1
90,14
311,1
69,21
46,104
202,4
2272,1
864,1
206,2
425,1
1307,1
150,4
67,29
97,6
111,6
165,4
1286,1
272,3
55,48
662,1
82,19
290,1
136,3
54,61
190,2
588,1
106,8
178,2
769,1
79,21
368,1
62,35
104,15
584,1
146,3
245,1
154,3
904,1
1089,1
164,3
100,11
235,1
8,450
370,1
3,373
126,7
2638,1
277,2
351,1
123,5
157,4
589,1
397,1
92,24
292,2
429,2
147,6
298,1
167,4
381,2
863,1
173,2
587,1
483,1
314,1
251,1
339,2
238,2
250,1
183,2
133,5
265,1
161,2
329,1
113,7
120,5
148,4
182,4
99,7
802,1
803,1
414,1
792,1
389,1
689,1
455,1
191,1
121,10
279,1
390,1
2,305
201,1
560,1
403,1
105,5
363,2
255,1
266,1
287,1
525,1
115,4
437,1
137,1
362,1
220,1
89,8
302,1
210,2
186,1
143,4
391,1
131,2
230,1
128,3
961,1
1,373
371,1
222,1
331,1
244,1
593,1
140,5
458,1
565,1
122,5
296,1
209,1
399,1
384,1
350,2
155,4
163,1
159,2
548,1
129,3
196,2
304,1
807,1
175,3
323,1
257,1
87,16
668,1
383,1
278,1
246,2
193,2
112,6
203,1
411,1
321,1
259,1
282,1
289,2
171,1
243,2
134,3
388,2
467,1
340,1
229,1
144,4
103,7
212,1
341,1
156,2
315,1
221,1
151,2
153,2
577,1
464,1
421,1
401,1
436,1
199,1
273,1
330,1
207,1
166,1
189,1
184,1
703,1
297,1
283,1
237,1
174,1
241,1
116,3
225,1
