Degree,Count
307,2
100,21
23,183
7574,1
47,182
44,170
217,3
7,244
13,300
12,331
539,1
224,1
7224,1
17,226
55,142
574,1
10,349
132,12
228,1
127,4
636,1
61,101
53,160
1214,1
59,121
123,13
15,244
349,1
21,210
26,193
74,72
1359,1
370,1
73,69
22,163
62,101
32,163
41,151
9,303
143,10
176,9
39,161
60,129
92,49
1604,1
72,68
721,1
83,38
52,145
30,166
33,176
846,1
54,142
200,1
66,95
178,2
64,87
160,11
165,5
84,33
124,16
51,158
707,1
65,87
109,18
24,200
31,172
301,1
1748,1
949,1
142,13
980,1
807,1
58,142
25,171
221,5
85,43
2949,1
76,58
193,6
87,41
69,61
45,168
29,152
86,48
871,2
49,168
140,8
11,285
448,1
38,132
34,157
786,1
35,154
290,2
575,1
68,80
130,9
56,143
347,1
95,31
8,373
917,1
14,287
97,23
761,1
75,59
174,4
463,3
1253,1
1314,1
157,6
129,10
104,21
20,210
36,169
28,170
1405,1
323,2
244,5
79,55
19,237
3015,1
46,155
255,1
608,2
108,20
152,5
1249,1
16,237
269,2
43,153
133,14
280,2
71,70
272,3
94,26
1176,1
695,1
80,49
42,154
312,2
78,59
1216,1
4525,1
673,2
96,21
401,1
117,18
282,3
517,1
136,13
107,13
185,6
292,4
48,162
2265,1
4670,1
137,14
102,20
155,12
320,1
145,9
329,2
237,1
57,130
131,7
70,89
467,1
648,1
2796,1
306,1
2,295
568,2
945,2
40,135
2065,1
103,20
63,119
5545,1
222,1
90,29
999,1
271,3
684,1
27,168
67,96
596,1
239,4
50,156
1591,1
498,1
113,20
189,3
652,2
120,17
470,2
966,1
619,1
89,25
77,61
197,3
118,15
233,2
179,7
415,2
454,1
116,20
91,29
105,21
365,1
655,2
88,35
147,5
1425,1
149,9
241,4
126,10
134,7
82,40
250,3
199,2
206,2
447,1
151,13
122,14
330,1
953,1
1493,1
297,1
212,2
483,1
190,3
391,2
268,1
192,4
148,10
163,4
170,5
795,1
37,163
361,1
264,4
150,8
1362,1
128,7
286,4
198,5
1616,1
119,12
814,1
5,206
405,1
164,8
81,47
18,211
173,6
98,26
822,1
169,5
158,8
106,13
449,1
749,1
592,1
4,278
258,3
1498,1
628,1
236,2
774,1
112,15
315,2
891,1
373,1
144,4
909,1
252,3
240,2
253,1
342,2
404,1
1038,1
419,1
180,6
162,9
309,2
406,1
313,1
1151,1
175,4
343,1
114,9
139,8
135,12
623,1
156,8
488,1
583,1
182,5
469,1
111,8
410,1
586,1
115,7
1223,1
216,1
293,3
93,30
420,1
101,19
457,2
227,2
958,1
357,1
235,1
402,1
188,5
238,4
159,5
478,2
541,1
121,8
647,1
141,9
459,1
209,4
546,1
1419,1
840,2
138,10
505,1
664,1
110,13
368,1
670,1
559,2
215,2
232,1
166,1
417,1
1011,1
234,3
154,2
289,1
345,1
790,1
533,1
125,10
451,1
161,2
458,1
490,1
1746,1
354,1
363,1
381,1
645,1
283,3
99,17
6,315
303,1
3,156
167,4
267,1
801,1
205,3
261,2
196,5
335,1
503,2
1000,1
202,1
344,2
249,3
766,1
314,1
254,1
390,1
438,1
427,1
523,1
534,1
243,1
518,1
375,1
183,4
305,1
510,1
263,2
302,2
194,2
247,2
172,4
385,1
277,1
318,1
421,2
146,10
285,1
353,2
191,1
605,1
270,1
502,2
689,1
298,1
184,1
324,1
231,1
287,1
187,1
826,1
275,1
374,1
256,1
501,1
211,2
226,1
328,1
210,1
246,1
376,1
248,1
321,1
201,3
181,3
225,1
214,1
331,1
338,1
594,1
430,1
153,6
171,1
685,1
186,1
265,1
203,2
310,1
230,2
382,1
273,1
278,1
317,1
219,3
220,6
207,1
213,2
465,1
325,1
251,2
639,1
229,1
208,2
1,82
177,1
