Degree,Count
4,3867
3,8562
198,1
8,885
11,449
2,10281
6,1837
10,546
101,3
7,1502
15,143
5,3287
9,791
12,283
1,6715
14,199
60,4
68,2
24,37
16,118
23,33
33,9
22,51
13,269
25,25
44,4
18,92
482,1
31,14
128,1
19,53
222,1
278,1
35,4
30,11
21,49
73,2
26,25
17,113
82,2
164,1
143,1
145,1
76,2
230,1
214,1
38,11
27,16
75,2
194,1
20,59
42,2
109,1
43,6
37,10
376,1
46,5
234,2
259,1
36,10
66,2
69,3
78,1
28,18
172,1
467,1
343,1
32,9
115,1
56,3
51,5
102,1
95,1
152,1
105,1
29,18
287,1
41,4
34,9
53,3
49,1
39,7
40,6
64,4
79,2
99,1
45,5
67,2
86,1
50,4
217,1
47,7
281,1
187,1
54,3
55,4
141,1
97,1
251,1
133,1
148,1
71,3
52,2
48,1
124,1
61,2
114,1
62,1
63,1
58,2
