Degree,Count
7,225301
41908,1
5,371803
333,15
6,277153
9,135467
4,593873
18,22307
20393,1
11,81343
812,3
86565,1
16,30066
54486,1
1,660339
387,9
14,42544
2,610766
13163,1
10,102898
562,5
3,907896
51,870
553,5
3832,1
1519673,1
21928,1
1044,2
26494,1
19,19120
642,6
18203,1
54460,1
8,175155
184,48
21970,1
810394,1
12793,1
8095,1
112,123
76038,1
42770,1
1151,3
39551,1
758,3
94,194
220949,1
196,35
15,37158
12,62922
9131,1
9493,1
54,681
60,525
804,3
16372,1
8664,1
361060,1
1995,1
85,235
34,2629
144229,1
262873,1
25,7107
20,16058
36,2198
43,1267
403,11
284558,1
21,13705
461,6
17,26813
6561,1
1957,1
5837,1
2862,1
615,9
117732,1
2154,1
111790,1
228789,1
12469,1
9039,1
75487,1
663,3
1653,2
7060,1
8461,1
98303,1
509,7
3964,3
15798,1
1865,1
5477,1
15370,1
24,8173
7735,1
130997,1
1519,1
13,52480
260,26
23687,1
42,1398
5295,1
21943,1
1782,1
29,4195
314,8
114,122
1728,2
547,9
459,9
9409,1
25863,1
27454,1
30280,1
35,2285
370,10
362,12
44,1244
12046,1
164131,1
52,808
965,1
170,54
5273,1
38,1881
99210,1
2893,1
14705,1
238,22
279,20
6965,1
53,803
45,1170
2969,1
70,363
8755,1
23,9715
135,94
735,3
16098,1
58,602
521,7
471,15
197,48
22,11373
4752,1
25799,1
217,40
2044,2
323,20
116,125
585,5
10775,1
10988,1
456,10
66,424
1959,1
1409,1
36793,1
38843,1
104547,1
67,416
842,2
1727,1
123849,1
79736,1
8239,1
5842,1
11496,1
282,21
9660,1
2115,4
41,1436
4100,1
37,2045
211,36
5346,1
125,107
12568,1
5149,1
441,8
614,4
397,11
91,192
2586,1
105594,1
78,282
60303,1
20065,1
31087,1
48,995
505,4
1133,3
80,264
705,3
3991,1
121,99
149845,1
1616,2
69,356
30771,1
864,1
2439,1
3138,1
6598,1
27225,1
1123,2
98,160
525,3
4302,1
55,667
39,1666
1625,2
5738,1
252,18
31,3353
88,230
26,6075
100,175
13430,1
494,6
291,12
15310,1
3560,2
149,69
14636,1
109,127
23195,1
2950,1
467,13
28,4719
14588,1
668,6
104,148
1098,1
276,29
6724,1
18260,1
27629,1
837,2
601,5
127,86
150,64
411,11
50,906
1654,2
37140,1
26866,1
32,3118
816,3
797,1
9421,1
3725,1
31833,1
192,38
2434,2
23193,1
219,32
1341,1
6439,1
29172,1
4982,1
1150,1
3984,1
142,60
71077,1
283,19
16674,1
13077,1
68,434
33,2795
8195,1
189,40
1200,3
21195,1
18410,1
8553,1
163,62
2316,1
255,25
30,3671
940,4
218,30
49,898
8488,1
1808,1
27,5437
20019,1
10094,1
14365,1
396,11
5243,1
103411,1
711,2
47596,1
685,5
847,1
120,118
46263,1
1162,2
7275,1
2373,1
63,463
40348,1
1740,3
3921,1
245,31
17320,1
5234,1
9545,1
493,11
18841,1
4322,1
4129,1
1108,3
117,121
39537,1
5913,1
12164,1
191,29
696,4
1707,2
3630,1
6794,1
717,4
21037,1
10278,1
141,78
328,15
1062,2
531,11
82,261
652,3
13115,1
2512,2
15632,1
1027,4
5673,1
248,22
9293,1
205,30
44518,1
201,32
469,8
983,6
1279,2
759,3
23931,1
446,7
4624,1
358,12
591,6
7092,1
500,6
59,578
677,3
6476,1
4880,1
481,6
6100,1
678,4
6895,1
790,4
5307,1
9777,1
95,181
426,6
272,15
931,4
35249,1
33715,1
743,4
4025,1
19076,1
237,27
71,363
10538,1
2436,2
8026,1
74,385
3076,1
2412,1
9839,1
1751,1
174,42
165,52
115,138
32211,1
3524,1
123,99
1461,3
345,10
448,6
21664,1
2644,1
79,295
5675,1
86,229
234,25
7800,1
36908,1
4546,2
1829,1
1812,1
159,57
251,23
3554,1
3188,1
1373,3
4249,1
34717,1
64,445
273,21
19898,1
75,339
46,1129
1110,2
203,38
14528,1
158,43
5524,1
4976,1
1016,1
286,17
557,4
1432,4
206,32
1687,2
92,210
7929,1
867,2
90,191
1118,3
307,13
532,6
2429,1
20504,1
19478,1
2131,1
4161,1
3663,2
301,19
1042,3
6807,1
1407,1
148,58
1874,2
1673,1
2999,1
19316,1
2080,1
220,34
428,11
7088,1
1282,1
515,5
28350,1
3977,1
200,41
178,55
7576,1
7307,1
2209,1
618,3
2642,1
244,33
5196,1
268,20
1597,1
10147,1
57871,1
281,18
4986,2
57,579
670,1
12745,1
155,70
21421,1
1573,2
1677,1
4825,1
810,2
360,11
369,10
305,22
241,25
3905,1
407,6
10653,1
4068,1
10314,1
12654,1
11532,1
1209,5
147,66
136,94
1311,4
16436,1
9524,1
2739,1
1846,1
458,9
4188,1
61,484
1380,3
16082,1
40,1602
415,13
73,351
3557,1
1252,1
258,32
226,22
222,31
1743,1
429,10
2540,1
510,7
15824,1
11177,1
3544,1
13587,1
1050,3
77,301
13641,1
798,3
497,6
1699,3
1195,3
130,78
886,2
3880,1
309,20
374,11
293,18
1525,3
181,53
1515,1
3578,1
103,154
16361,1
8045,1
11032,1
253,16
10259,1
7951,1
1371,1
3542,1
106,149
1644,1
223,32
133,89
852,4
492,6
34293,1
17528,1
2360,1
102,138
1375,1
398,11
1833,1
225,40
1686,2
524,9
7131,1
2821,1
6205,1
56,659
3313,1
3184,1
89,234
1520,2
971,2
1440,2
5031,1
111,113
16864,1
65,447
3277,1
1400,2
416,7
903,1
14289,1
849,2
119,111
455,9
145,79
38554,1
247,24
113,115
925,3
243,29
589,4
18414,1
1218,2
5690,1
603,5
4284,1
24256,1
1866,2
1789,2
7488,1
3606,1
193,44
12755,1
300,20
5597,2
10533,1
714,2
1276,1
167,45
381,12
228,26
1320,3
5105,1
1784,1
2265,2
4238,1
10925,1
346,18
185,39
993,1
623,7
978,3
843,3
612,5
2249,1
1284,3
263,30
151,67
2850,2
176,48
853,1
2737,1
608,4
10028,1
249,27
817,5
2147,2
731,2
1032,3
611,3
2015,1
2227,1
1720,1
8458,1
9252,1
122,104
154,52
640,3
164,46
1029,2
2000,1
2595,2
520,4
2988,1
1084,2
2148,3
1663,1
1537,2
143,54
5019,1
7118,1
442,14
2163,1
233,20
101,151
449,5
17324,1
47,1014
182,53
2567,1
124,112
3325,2
2600,2
917,2
2993,3
687,3
10525,1
799,2
62,506
1242,2
863,3
34201,1
204,27
718,3
487,12
105,164
3577,1
419,5
1524,1
350,11
2244,1
3066,1
815,2
729,3
15538,1
34832,1
14442,1
99,168
4312,1
6497,1
5529,1
538,6
1336,1
2685,1
2125,1
2530,1
707,3
683,3
7362,1
160,63
502,5
129,82
813,2
1132,2
8986,1
1064,2
2652,3
2481,1
2697,1
215,31
128,92
5666,1
208,44
3885,1
97,173
826,6
339,13
6493,1
1448,1
1114,3
2573,1
11048,1
1148,2
1330,1
1771,2
966,3
3858,1
317,11
1192,2
1641,1
620,1
17447,1
353,9
3197,1
72,340
1622,1
586,6
20358,1
1073,1
330,16
437,6
319,10
4413,1
1126,2
6313,1
8037,1
1505,2
431,7
2906,2
207,41
7173,1
818,4
7096,1
1058,1
680,4
4808,1
10871,1
146,73
558,9
414,10
508,5
890,4
540,3
2233,1
619,3
24086,1
2339,2
4667,1
316,10
1107,1
1227,2
778,5
1061,1
6922,1
297,22
827,2
3528,1
12985,1
9943,1
8017,1
5380,1
87,205
1582,2
138,78
673,6
8764,1
5164,1
292,16
1937,1
2683,1
1845,1
1545,2
873,2
1075,2
5919,1
2250,1
1121,1
4112,1
1820,1
2877,1
1163,1
514,7
11660,1
2230,1
706,3
3574,1
1007,1
2176,1
690,3
15851,1
23758,1
1666,2
7420,1
1638,1
1190,1
2554,1
3497,1
393,11
212,33
901,3
7603,1
932,4
188,48
156,62
4476,1
6889,1
1670,1
1668,1
637,3
4364,1
1082,2
12846,1
6338,1
1382,2
318,19
11023,1
3475,1
2174,1
891,1
2307,2
348,13
2775,1
152,71
267,13
3186,2
1119,2
3777,1
672,3
199,32
131,86
3144,1
2483,1
144,79
140,70
8496,1
412,10
311,15
876,5
1257,2
2161,1
6768,1
820,4
324,17
1925,1
526,4
4709,1
1985,1
610,1
916,3
83,242
1810,1
179,49
2376,1
3415,1
254,22
118,126
2301,2
290,15
948,3
433,11
2501,2
3947,1
13848,1
544,6
2031,1
327,13
15483,1
172,60
1603,1
390,13
3838,1
6011,1
576,5
400,13
5070,1
5859,1
1410,1
436,12
10678,1
3700,2
1775,1
1182,1
793,4
1003,2
14724,1
10542,1
970,4
262,15
2194,2
2212,1
1499,1
210,33
1646,1
2529,2
377,10
1071,3
1680,2
202,36
190,42
3919,1
315,12
1804,1
1608,1
3488,1
857,4
1103,2
269,16
308,19
559,5
1823,1
3886,1
435,5
6519,1
1922,1
175,54
344,11
1157,2
81,274
713,3
14330,1
800,8
10303,1
9430,1
107,137
811,3
5130,1
1404,1
1592,1
6169,1
399,6
3817,1
7393,1
583,6
10256,1
3613,1
3637,1
1803,1
195,48
4896,1
420,8
2822,1
2385,1
7220,1
1384,3
425,17
11527,1
801,3
7301,1
364,11
8907,1
806,2
383,8
10956,1
552,4
168,46
15663,1
4575,1
596,6
84,243
289,19
325,14
2898,1
985,3
1712,1
490,8
285,17
16568,1
2026,1
357,17
454,4
679,2
1012,1
5455,1
988,2
10540,1
1054,4
7120,1
15544,1
5233,2
388,11
1426,1
1558,2
198,30
4083,1
1912,1
171,49
3019,1
627,4
4934,1
2783,1
1844,1
14997,1
629,5
395,7
740,1
4529,1
177,47
3308,1
522,8
341,16
769,2
12731,1
491,7
1724,1
298,14
288,18
5162,1
791,4
2042,1
304,16
550,3
574,8
2251,1
336,14
137,85
674,2
3958,1
3075,1
1181,1
822,2
6790,1
692,7
1513,2
1897,1
405,6
1615,1
5736,1
1033,1
960,3
1797,2
2704,2
14943,1
654,4
12538,1
2866,1
1370,2
1459,1
274,11
2478,1
6845,1
485,6
1416,1
976,3
951,1
984,2
232,20
957,4
1990,1
6321,1
236,34
597,4
1057,2
153,61
337,17
825,3
1422,2
1526,1
10668,1
1551,1
1652,2
1719,2
548,4
3916,2
2229,1
134,68
744,5
1805,2
4553,1
9050,1
4410,1
421,9
513,5
194,35
1610,2
959,1
780,1
277,13
1179,1
432,8
2247,1
438,10
689,4
299,26
378,9
5999,1
5407,1
649,2
977,1
464,4
4866,1
332,12
974,2
721,2
593,4
5330,1
795,3
2132,1
581,2
624,1
224,23
4936,1
3519,1
1755,1
93,195
1388,2
1480,2
757,2
2450,1
3821,1
110,122
2702,1
359,15
675,4
4207,1
1977,1
3212,2
914,4
1201,2
1777,1
10621,1
261,25
2709,1
351,11
1039,3
466,1
1187,2
2892,1
1049,5
546,7
950,1
541,7
1067,3
1557,1
609,7
2830,1
566,4
512,4
528,5
126,100
157,56
1695,1
1509,1
320,14
753,2
536,5
183,45
1117,2
496,5
76,314
719,3
4003,1
2829,1
227,33
2813,1
1679,1
2713,1
386,14
4010,1
1315,4
1932,1
310,15
4820,1
4737,1
8013,1
851,2
622,6
5190,1
1080,1
2665,1
4084,1
947,2
1048,2
250,34
6398,1
186,38
1274,1
2924,1
919,4
1059,1
907,4
2470,1
329,10
1247,1
929,1
2422,1
595,8
2372,2
391,7
2071,1
1815,1
2217,1
96,185
2068,1
2452,1
1165,1
6916,1
2666,2
1269,1
5067,1
3665,1
2550,1
3975,1
949,3
772,2
169,65
2571,1
1159,2
862,1
694,4
1601,1
422,9
13248,1
1386,1
836,3
424,8
343,12
2359,1
1092,1
606,4
755,2
1546,1
5594,1
1112,2
2043,1
3495,1
5903,1
787,2
1674,1
571,5
5249,1
326,14
4818,1
3401,1
246,20
2145,1
331,10
6684,1
1359,2
1924,2
2299,2
551,5
209,37
1492,1
214,30
3546,1
2382,1
1240,1
1560,2
1468,3
2137,1
161,66
656,4
935,1
1889,1
1401,1
2320,1
2377,1
2273,1
1261,2
969,1
653,4
