Degree,Count
11,7522
39,84
12,5526
4,7420
14,3078
204,8
27,219
1633,1
8,11139
5119,1
29,186
9,10553
30,174
420,1
13,4133
112,11
10,10238
21,508
77,25
175,15
61044,1
91,24
12201,1
7,10822
15,2286
212,9
203,10
189,9
18,1012
59,46
33,126
101,24
190,4
71,32
6,10148
102,23
382,1
138,12
76,26
28,181
201,8
282,2
150,10
34,110
131,12
119,14
5,7277
285,3
701,1
53,51
114,17
116,13
47,73
111,9
476,2
36,82
200,5
142,9
258,1
279,3
3,7599
50,59
106,28
99,16
17,1282
194,6
549,2
79,33
183,7
84,25
384,1
48,66
297,5
390,3
64,57
443,1
38,104
319,2
24,338
75,43
115,15
193,9
118,19
23,340
631,1
46,71
177,8
169,9
20,597
22,467
109,19
345,1
171,13
247,3
471,2
441,1
271,4
16,1695
422,1
442,1
221,3
31,138
42,80
162,8
488,1
156,12
501,1
463,1
26,247
170,9
25,260
286,3
92,21
93,22
2,7770
217,6
160,8
325,1
1596,1
1848,1
405,2
122,10
86,31
179,9
45,67
538,1
370,4
49,73
196,12
467,1
426,1
480,2
96,25
89,21
90,16
399,2
260,3
237,4
240,11
245,4
314,3
152,8
473,1
465,4
368,3
154,16
56,60
40,97
88,14
95,26
547,2
105,17
520,3
62,52
351,2
60,49
124,18
524,1
307,3
231,6
19,765
223,6
173,9
100,15
107,17
117,16
166,7
280,5
335,2
609,2
110,18
103,16
209,4
113,9
205,6
320,2
1,4365
151,8
148,9
728,1
214,6
66,36
254,3
337,1
127,10
213,5
72,35
211,3
35,101
208,8
241,3
352,3
266,4
161,6
479,2
491,3
135,10
58,45
528,1
68,43
155,9
218,3
61,38
83,37
536,1
69,30
295,1
236,2
147,4
70,25
334,1
74,28
165,6
41,60
267,6
340,3
97,18
411,5
32,110
159,8
182,5
376,3
373,3
73,35
81,30
130,15
464,2
67,39
172,6
310,3
43,57
389,1
539,1
226,3
94,23
846,1
601,1
1337,1
356,2
396,2
149,9
494,1
235,3
980,1
474,2
80,21
584,1
195,7
52,55
65,22
953,1
188,3
403,1
164,11
440,1
55,53
132,8
262,3
1660,1
372,3
184,5
315,1
273,3
134,10
306,3
146,7
104,29
174,12
385,2
354,1
341,2
415,1
425,1
391,3
85,25
143,8
249,6
259,3
253,1
63,45
348,3
126,14
1179,1
207,6
283,3
525,1
432,2
44,70
158,10
409,1
300,1
293,3
37,89
216,7
185,7
133,11
87,28
197,8
364,1
1118,1
137,8
215,4
973,1
302,3
186,6
163,6
377,1
108,22
305,1
141,13
120,13
367,3
763,1
139,8
57,45
181,2
187,5
477,1
289,3
653,1
575,1
304,1
82,26
347,2
332,1
129,16
383,2
199,5
192,8
519,1
1045,1
535,3
457,1
353,2
489,2
98,17
434,1
358,2
269,2
292,1
328,2
136,14
468,1
386,1
362,2
673,1
157,8
394,1
255,3
128,13
406,1
54,52
206,4
395,1
210,3
296,3
219,4
239,2
290,2
492,1
522,1
380,2
511,1
145,11
397,3
527,1
543,1
191,7
357,1
51,54
78,18
257,7
264,2
232,2
418,1
238,2
248,2
620,1
275,1
167,6
534,1
839,1
331,1
311,3
123,12
342,2
288,2
461,1
284,3
261,1
550,1
176,8
121,8
180,5
339,1
252,4
622,1
168,7
246,3
277,1
428,1
1386,1
509,1
265,2
669,1
233,3
224,1
433,1
222,5
144,7
243,4
664,1
228,3
578,1
312,1
316,2
338,1
374,1
417,1
344,1
287,3
125,11
410,1
408,1
349,1
308,1
242,2
244,2
531,1
294,1
322,1
1046,1
613,1
470,1
555,1
595,1
198,3
276,1
545,1
234,2
268,1
256,3
361,2
478,1
401,2
371,2
318,2
230,2
274,4
202,3
529,1
140,8
251,1
455,1
291,1
324,2
557,1
220,1
153,5
225,2
281,1
333,1
466,1
227,1
512,1
359,1
298,1
178,3
326,1
250,2
508,1
381,1
388,1
363,1
336,1
447,1
301,1
