PageRank,Count
0.01,20102
0.06,242
0.05,493
0.03,2998
0.07,881
7.37,1
0.1,87
0.12,55
0.08,151
2.88,1
0.18,20
8.11,1
0.04,1140
0.31,10
8.92,1
3.07,1
0.02,3490
0.47,2
3.85,1
1.52,1
1.2,2
9.65,1
0.85,2
0.14,52
13.78,1
0.33,7
2.73,1
0.17,27
2.51,1
0.11,120
10.96,1
0.41,5
8.41,1
0.22,14
0.3,5
0.4,6
0.15,44
2.96,1
5.79,1
0.28,10
0.23,14
3.38,1
0.37,5
0.26,15
0.16,26
0.25,12
0.21,14
1.66,1
0.13,58
1.78,1
2.34,1
2.97,1
0.77,1
2.76,1
0.94,3
5.73,1
6.36,1
0.09,114
2.01,1
0.36,6
0.38,6
0.32,6
0.19,31
0.43,3
0.6,2
0.2,18
1.74,1
0.42,4
0.35,4
0.27,7
0.45,3
7.47,1
5.35,1
1.25,2
3.58,1
0.24,14
0.34,7
3.76,1
0.29,4
1.92,1
3.2,1
0.59,2
0.83,3
0.53,2
3.36,1
0.69,1
0.7,1
0.89,1
0.51,2
4.49,1
0.48,4
1.99,1
2.57,1
5.52,1
3.83,1
12.27,1
2.15,1
5.42,1
1.28,1
1.14,1
0.46,4
0.86,1
0.75,2
0.78,1
2.06,1
0.61,1
0.49,2
0.71,1
0.39,3
1.7,1
0.44,1
0.67,2
0.5,1
0.95,1
0.63,1
2.64,1
1.04,1
2.45,1
0.52,2
3.96,1
4.21,2
1.07,1
1.51,1
0.55,1
7.42,1
1.44,1
0.54,2
0.64,1
2.74,1
0.57,1
0.66,1
1.09,1
1.08,1
4.01,1
3.02,1
0.62,1
