PageRank,Count
0.03,3189
0.06,1177
0.04,2914
0.02,3063
0.05,1932
1.57,3
4.25,1
1.76,1
1.25,1
0.13,83
0.11,116
0.07,565
0.42,5
9.6,1
0.09,235
3.13,1
0.23,22
0.16,38
0.73,1
2.36,1
0.14,55
0.57,5
0.6,4
0.65,5
7.06,1
0.26,16
0.08,358
0.25,18
0.19,24
0.39,1
0.58,2
7.68,1
37.79,1
5.43,1
0.15,54
1.26,1
0.4,5
0.1,147
0.59,1
1.67,1
0.24,28
0.21,23
0.68,1
0.27,12
1.37,1
1.65,1
0.3,10
0.74,2
0.52,6
1.32,1
1.15,1
1.71,1
1.47,2
12.42,1
0.76,1
0.37,7
0.46,3
0.22,25
0.2,27
2.56,1
0.49,3
0.66,2
0.38,5
0.28,17
0.32,8
0.33,9
3.64,1
0.12,87
2.28,1
27.01,1
0.51,4
7.69,1
0.29,14
7.8,1
0.7,1
1.23,2
1.38,1
0.53,2
1.21,2
0.34,9
0.41,8
2.31,1
6.32,1
2.53,1
5.62,1
0.17,26
0.45,6
0.18,26
0.36,8
0.89,1
0.87,1
2.02,1
2.23,1
3.74,1
1.12,1
1.13,1
0.78,1
0.72,1
0.96,3
7.15,1
1.5,1
4.14,1
0.43,6
0.62,1
0.88,2
0.5,2
1.94,1
0.91,1
0.82,2
0.31,10
1.09,1
1.1,2
0.55,1
1.02,2
0.44,3
0.47,2
1.64,1
0.93,2
1.31,1
0.86,1
1.11,2
0.64,2
0.84,2
0.48,3
6.97,1
1.2,1
1.55,1
0.98,1
1.52,1
1.59,2
5.78,1
1.62,3
1.03,1
0.61,1
0.35,2
0.85,1
1.0,2
0.54,1
1.04,1
1.41,1
1.48,1
1.58,1
