PageRank,Count
0.21,37
0.08,442
0.02,1837
13.3,1
0.05,2192
0.04,2977
0.36,7
0.03,3243
0.74,5
0.65,5
11.15,1
0.39,10
0.33,13
0.34,16
0.07,714
0.44,6
6.95,1
0.83,5
0.11,150
1.02,1
0.26,16
0.06,1296
0.16,62
0.15,77
0.41,7
0.19,49
0.48,6
0.97,3
0.63,4
0.09,282
0.57,4
0.13,104
0.12,153
0.86,3
1.54,1
0.64,5
3.34,1
0.62,2
0.45,8
0.1,214
6.23,1
2.22,1
0.84,1
0.37,10
1.11,1
0.49,4
0.47,7
0.31,12
0.22,44
0.17,62
0.98,1
0.61,2
1.06,2
0.82,1
0.85,2
0.46,3
0.25,22
6.21,1
0.2,38
1.2,1
0.14,74
3.06,1
0.27,23
0.94,3
1.96,1
3.89,1
0.53,2
0.7,4
1.58,2
0.43,7
0.89,2
0.42,5
4.62,1
4.02,1
0.01,403
1.01,1
1.91,1
3.81,1
4.74,1
1.32,1
0.23,36
0.93,1
0.4,4
0.71,3
1.39,1
0.55,5
0.18,49
0.5,4
3.64,1
1.23,1
0.28,17
1.79,1
0.38,6
1.84,1
0.59,2
1.47,1
0.99,1
0.3,17
1.35,1
2.53,1
0.56,2
3.77,1
1.38,1
1.59,1
0.52,7
0.69,3
0.51,2
0.66,3
1.94,1
0.32,18
0.68,3
0.87,1
0.29,12
0.78,2
1.5,1
0.35,6
0.58,2
0.72,1
1.05,2
1.73,1
0.24,11
1.26,1
0.6,1
0.76,1
1.19,1
0.95,1
0.8,1
