PageRank,Count
0.04,2026
0.37,2
0.01,15001
0.02,16101
0.09,147
0.56,1
0.99,1
0.08,232
0.06,563
0.11,92
1.57,1
0.05,985
0.17,23
0.03,4912
0.34,3
0.1,96
0.32,5
0.07,317
1.44,1
0.12,72
2.36,1
3.05,1
0.13,47
0.62,2
0.24,10
1.99,1
0.69,1
0.14,50
0.6,2
0.18,20
0.35,7
0.2,11
0.38,3
2.61,1
0.75,2
1.12,1
1.2,1
0.33,3
0.16,26
0.29,7
1.55,2
0.3,4
0.26,7
0.22,6
1.45,1
0.54,1
0.49,2
0.4,5
0.27,6
0.21,12
1.03,1
0.15,29
0.47,2
0.45,2
0.39,3
0.31,5
1.36,1
0.5,1
0.23,9
0.46,2
0.19,24
0.25,3
0.48,1
0.53,1
0.82,2
0.44,2
0.43,2
1.28,1
1.59,1
0.36,5
0.65,2
1.25,1
0.67,2
0.93,1
0.41,2
1.63,1
0.28,6
0.73,1
1.26,1
0.42,1
0.0,4
