PageRank,Count
0.01,15141
0.02,3793
0.0,15768
0.3,14
0.03,1844
0.1,161
0.06,507
1.23,1
2.43,1
0.04,1044
0.05,610
0.09,188
0.41,7
0.08,256
0.59,6
0.58,5
0.23,33
0.22,33
0.49,5
1.5,1
0.16,56
0.18,45
0.65,9
0.07,345
0.19,41
1.76,1
0.15,60
0.32,12
2.21,1
0.83,2
0.11,134
0.48,9
0.21,37
0.17,59
0.77,5
0.62,1
2.02,1
0.31,16
0.2,45
1.39,2
0.12,101
0.56,3
0.24,31
0.46,9
1.16,2
0.5,4
2.09,1
0.38,7
0.13,82
0.14,71
1.01,2
2.44,1
2.06,1
0.27,19
0.28,19
0.43,8
0.47,6
7.68,1
0.25,16
0.51,3
1.52,1
3.94,1
0.98,1
3.71,1
3.28,1
0.42,6
0.26,18
0.37,8
0.29,16
1.26,3
0.66,5
2.95,1
1.55,1
1.62,1
0.39,10
0.94,2
0.67,5
0.44,5
0.55,5
0.61,5
0.36,9
0.99,4
1.45,1
1.33,3
0.69,3
0.54,2
0.71,2
0.63,3
2.08,1
1.88,1
0.72,2
0.4,5
0.8,2
0.88,2
1.12,3
1.87,2
0.53,3
0.64,3
0.95,3
1.0,1
1.42,1
0.35,8
1.22,1
0.68,1
0.86,3
0.6,1
0.9,1
0.33,5
5.49,1
1.04,2
3.69,1
2.0,1
0.34,6
1.07,2
1.18,1
0.52,3
2.56,1
0.92,2
7.95,1
0.87,1
1.74,1
1.14,3
1.78,3
1.19,1
3.13,1
2.91,1
1.1,1
2.92,1
1.09,2
4.48,1
6.15,1
1.94,1
2.68,2
0.91,1
3.93,1
0.75,1
0.76,1
0.97,1
1.34,1
0.45,4
2.58,1
1.08,2
2.41,1
1.43,1
2.77,1
5.01,1
0.79,1
3.31,1
1.2,3
1.46,1
10.84,1
1.31,1
1.69,1
0.57,1
1.02,1
0.73,1
2.3,1
0.93,1
1.4,1
0.84,1
1.49,1
0.74,1
5.79,1
1.21,1
1.91,1
0.82,2
1.81,1
0.89,1
1.56,1
1.05,1
