PageRank,Count
0.0,4585187
1.07,1
0.01,5893
0.34,3
4.91,1
1.38,1
0.03,523
1.1,3
0.02,1210
0.23,20
70.52,1
1.11,1
0.04,334
0.88,1
0.45,7
4.55,1
1.34,1
43.92,1
1.29,2
0.39,6
5.28,1
1.58,1
0.97,2
9.34,1
0.25,8
0.31,13
0.44,4
0.56,4
21.94,1
0.06,128
5.14,1
14.51,1
1.7,1
17.11,1
0.2,16
0.11,69
0.32,7
0.1,59
3.82,1
7.29,1
6.4,1
0.77,3
0.24,13
3.33,1
0.37,5
0.27,13
5.6,1
0.29,5
0.66,3
0.07,113
0.28,4
0.79,3
0.21,14
4.49,1
0.13,35
1.78,1
0.58,5
0.75,3
0.05,198
0.09,82
1.13,2
1.22,2
0.53,3
1.28,1
0.4,4
4.76,1
0.14,32
3.7,1
0.52,6
0.84,2
0.35,8
0.61,5
0.08,98
1.53,1
6.08,1
3.72,1
2.66,1
0.62,4
0.38,4
0.51,1
0.19,18
2.05,1
0.85,2
0.18,18
6.58,1
3.06,1
0.59,1
1.54,1
2.78,1
2.1,1
0.87,2
1.25,1
0.43,6
0.36,7
1.52,1
2.02,1
0.67,2
1.21,2
1.72,1
0.41,3
1.43,2
0.22,11
4.31,1
0.86,2
0.15,29
0.54,3
0.76,2
0.64,1
0.72,2
0.16,19
5.7,1
2.52,2
1.77,1
1.23,1
0.49,3
0.46,7
0.7,3
1.49,1
0.33,5
0.42,4
1.97,2
0.47,5
1.19,1
0.12,44
2.86,1
0.26,6
2.62,1
0.95,1
2.89,1
0.57,2
4.15,1
0.68,1
2.18,1
0.5,1
0.9,1
0.3,5
0.74,2
1.91,1
0.17,18
0.55,2
0.73,2
0.98,1
1.03,1
0.71,2
0.48,5
1.46,1
0.69,1
0.91,1
2.28,1
1.42,1
1.15,1
0.92,1
