PageRank,Count
0.0,106540
0.01,10412
0.02,2157
0.04,680
2.3,1
2.74,1
0.08,172
0.1,109
0.03,1068
20.2,1
35.28,1
0.06,265
0.05,418
0.16,60
0.11,75
1.27,2
0.4,10
0.12,78
0.09,136
0.07,192
0.62,5
0.37,12
0.45,6
0.61,3
7.89,1
5.8,1
0.35,9
0.29,22
0.24,27
1.1,1
0.13,60
0.28,12
1.03,2
0.14,58
0.21,31
1.5,1
0.17,35
0.25,19
0.75,1
0.15,49
1.4,1
0.46,6
2.11,1
0.19,27
1.91,2
0.3,15
0.31,13
0.18,33
0.27,22
2.12,1
1.32,1
0.22,34
3.33,1
1.7,1
0.42,8
0.33,6
4.75,1
1.67,1
0.23,19
2.23,1
0.94,2
0.73,5
0.2,20
1.22,1
0.9,2
0.49,4
0.59,4
0.7,3
0.52,6
0.48,8
7.42,1
0.41,7
1.68,2
0.26,23
4.54,1
0.68,2
3.88,1
0.54,4
0.63,1
0.84,4
0.51,2
0.56,3
0.74,3
0.72,1
0.93,2
2.06,1
1.2,1
0.32,8
1.37,2
2.49,1
0.99,1
1.19,1
1.11,1
2.14,1
0.55,4
3.16,1
0.53,3
4.11,1
0.98,1
0.43,8
0.44,3
1.9,1
0.66,1
0.6,2
0.78,2
0.81,5
0.76,2
0.77,3
0.5,6
0.34,13
0.65,4
4.95,1
0.39,9
0.91,1
0.82,1
1.38,1
7.99,1
0.87,2
0.36,10
0.57,2
3.08,1
2.21,1
1.12,2
2.77,1
1.13,1
0.47,6
0.89,1
0.8,1
0.86,1
0.95,1
0.64,1
0.38,4
1.55,1
2.1,1
0.71,5
1.52,1
0.67,2
0.85,1
0.79,2
0.97,1
1.43,1
2.13,1
1.04,1
