PageRank,Count
0.02,18164
0.07,199
0.13,69
0.1,669
0.16,36
0.03,2464
8.67,1
0.05,794
0.34,4
8.16,1
3.4,1
0.09,98
1.44,3
1.2,2
9.38,1
0.53,7
0.04,1015
0.18,28
14.42,1
2.82,1
0.06,290
2.75,1
0.14,61
7.74,1
0.47,4
8.4,1
0.22,19
0.35,4
3.5,1
6.49,1
0.08,161
3.95,1
3.6,1
0.45,2
0.28,7
3.23,1
0.44,1
0.24,20
2.55,1
3.36,1
0.84,2
2.89,1
0.92,1
5.89,1
0.11,72
6.93,1
2.11,1
0.15,45
0.19,17
0.39,4
0.97,1
0.43,3
0.33,8
0.48,5
0.68,1
0.23,15
0.2,24
0.27,13
0.21,27
0.46,5
0.12,59
1.91,1
0.93,1
0.17,35
0.3,7
0.57,2
7.37,1
1.45,1
0.26,13
1.67,1
0.41,2
1.47,1
1.93,1
3.35,1
0.25,18
3.43,1
0.37,4
0.89,1
1.0,1
3.62,1
0.75,1
0.82,2
0.63,3
0.4,6
4.75,1
0.51,7
2.1,1
0.29,10
0.49,1
0.52,1
4.16,1
1.07,1
16.91,1
1.58,1
0.42,2
2.22,1
6.72,1
1.16,1
0.36,4
0.32,3
1.02,1
6.12,1
16.33,1
0.58,1
1.71,1
1.34,1
0.91,1
0.31,7
0.38,2
1.27,1
0.69,1
3.46,1
1.19,1
3.3,1
4.2,1
1.95,1
0.67,1
1.7,1
7.04,1
0.83,2
1.43,1
0.56,1
3.01,1
1.23,1
0.76,1
0.71,1
0.7,1
1.75,1
7.55,1
0.66,1
1.06,1
