PageRank,Count
0.03,3091
0.05,1940
0.04,2749
0.02,3071
1.53,3
4.35,1
0.06,1205
1.22,1
0.14,58
0.11,102
0.07,672
0.44,3
9.74,1
2.76,1
0.28,18
0.17,33
0.66,6
2.09,1
0.09,248
0.54,1
0.62,3
6.62,1
0.25,23
0.08,375
0.12,100
0.4,5
0.6,3
1.66,1
8.16,1
35.37,1
5.21,1
0.15,51
0.18,30
1.05,1
0.27,12
0.2,20
0.16,46
1.59,1
0.24,20
0.69,2
0.26,18
0.31,13
0.47,6
0.32,12
1.1,2
1.43,2
0.1,174
0.19,24
12.57,1
0.78,1
0.29,16
0.72,1
0.45,4
0.22,25
0.3,8
2.43,1
0.23,21
0.61,3
0.48,2
0.67,1
0.13,87
0.21,23
0.36,4
3.41,1
0.41,8
0.35,7
2.61,1
26.2,1
1.61,3
0.56,1
8.2,1
8.32,1
0.76,2
1.28,2
0.58,3
0.52,6
1.4,1
0.37,8
1.29,1
1.6,1
0.51,3
2.31,1
6.75,1
0.42,3
0.53,4
5.53,1
0.46,7
1.19,1
0.86,1
1.97,1
2.25,1
2.85,1
0.34,10
1.06,1
0.81,2
1.26,2
1.27,1
0.93,1
6.81,1
1.5,2
3.74,1
0.43,2
0.38,5
0.92,1
1.88,1
0.55,2
0.83,1
0.64,1
0.33,6
0.98,3
0.89,3
0.49,1
0.82,2
0.85,3
0.95,1
1.03,2
0.9,1
0.39,4
6.26,1
1.25,1
0.59,2
1.52,1
1.07,2
1.15,1
0.5,2
1.39,1
1.38,1
5.66,1
0.99,1
1.23,1
1.7,1
0.68,1
1.49,1
1.54,1
1.62,2
