PageRank,Count
0.21,44
0.07,747
0.02,1938
13.39,1
0.05,2163
0.32,15
0.03,3163
0.75,3
0.63,5
10.91,1
0.41,5
0.04,2886
0.36,10
0.34,14
0.06,1321
0.45,9
0.81,2
0.1,214
0.08,432
1.1,1
0.26,28
0.14,101
0.19,50
0.42,5
0.2,39
0.95,2
0.09,302
0.55,6
0.13,103
0.37,7
0.12,127
0.49,10
1.48,1
0.65,5
3.87,1
0.44,4
0.11,175
6.73,1
0.83,1
0.39,5
1.17,1
0.16,54
0.47,10
0.46,8
0.68,3
0.22,33
2.32,1
0.96,4
0.59,5
1.04,2
0.79,1
0.82,3
0.24,12
5.97,1
3.34,1
0.28,22
0.67,4
0.89,3
1.9,1
3.79,1
0.4,4
0.18,45
0.23,28
1.46,1
6.91,1
4.58,1
0.01,440
1.75,1
4.07,1
4.59,1
0.15,63
0.17,53
1.21,2
0.91,2
0.38,5
0.71,1
1.45,2
0.29,13
0.53,3
3.95,1
0.9,1
0.64,3
4.14,1
0.43,5
1.3,1
0.33,12
1.67,1
0.57,4
1.5,1
0.3,12
0.61,3
1.36,1
0.25,25
2.49,1
0.54,3
4.09,1
1.38,1
1.62,1
0.52,4
0.7,4
0.48,2
0.73,2
1.94,1
0.31,17
0.27,18
0.35,11
1.02,1
0.84,1
0.6,4
0.72,2
1.13,1
0.87,1
1.66,1
1.81,1
1.42,1
1.05,1
0.56,1
0.5,3
0.85,1
0.93,1
0.74,2
0.62,2
0.86,1
0.8,1
0.94,1
1.54,1
1.18,1
0.51,1
