PageRank,Count
0.01,15320
0.02,3881
0.0,14928
0.31,11
0.03,1958
0.11,145
0.04,1055
0.09,191
1.06,2
2.38,1
0.05,661
0.47,6
0.06,511
0.07,321
0.59,5
0.57,4
0.25,15
0.33,13
1.0,2
0.16,75
0.13,95
0.64,3
0.21,40
1.67,1
0.1,156
0.15,57
0.32,9
2.26,1
0.86,2
0.43,11
0.76,4
0.63,2
2.01,1
0.18,46
0.34,13
1.38,1
0.12,96
0.19,46
0.75,3
0.58,4
0.08,278
0.22,20
0.66,4
0.23,29
0.14,65
1.2,2
2.07,2
0.39,4
0.17,58
0.61,4
0.2,45
0.48,8
0.46,6
7.56,1
0.26,19
0.51,7
1.49,1
3.87,1
0.49,4
3.12,1
0.24,28
0.45,5
0.28,16
0.41,18
0.3,17
1.31,1
0.93,1
0.62,3
0.29,14
2.94,1
1.51,2
1.45,1
0.44,5
1.03,2
0.68,6
1.59,1
1.7,1
1.29,2
0.65,5
0.4,8
0.67,1
0.71,2
0.38,8
0.53,3
1.63,1
0.27,16
1.11,4
0.7,3
0.55,1
0.37,5
0.91,2
1.01,3
0.72,3
0.74,3
0.42,9
0.87,2
2.43,1
1.24,1
0.5,6
0.6,2
0.79,1
0.85,1
1.18,4
1.4,2
0.78,2
6.26,1
1.34,1
0.35,8
3.26,1
0.8,3
1.41,1
0.97,1
1.14,2
2.62,1
0.88,2
1.95,1
1.84,1
5.28,1
3.72,1
1.04,1
2.83,1
1.08,2
4.29,1
7.39,1
6.17,1
1.46,2
2.03,1
0.89,1
1.56,1
3.42,2
0.83,2
1.89,2
1.32,2
1.28,1
0.9,3
2.39,1
0.92,3
2.64,1
4.91,1
1.98,1
1.42,1
9.68,1
1.1,1
1.57,2
0.54,2
0.36,2
1.09,2
1.25,1
0.84,1
4.59,1
1.36,1
1.66,1
1.19,2
2.1,1
1.33,1
1.3,1
0.95,1
1.15,1
2.54,1
3.71,1
