PageRank,Count
0.0,106420
0.01,10473
0.02,2173
0.04,693
2.32,1
2.75,1
0.08,177
0.1,101
0.03,1049
20.22,1
35.3,1
0.06,274
0.05,419
0.16,63
0.11,78
1.27,2
0.4,11
0.12,83
0.09,135
0.07,191
0.63,2
0.37,12
0.44,5
0.61,3
7.87,1
5.8,1
0.35,10
0.29,19
0.24,29
1.09,1
0.13,58
0.28,12
1.04,3
0.15,49
0.21,29
1.46,1
0.14,57
0.17,37
0.25,20
0.76,3
1.41,1
0.45,5
2.13,1
0.19,36
1.9,1
0.3,19
0.31,9
0.62,4
0.18,27
2.09,1
1.32,1
0.22,35
3.36,1
1.7,1
0.42,5
0.33,7
4.7,1
1.68,1
2.23,1
0.27,23
0.94,3
0.73,4
0.2,14
1.12,2
0.9,3
0.49,7
0.59,4
0.69,2
0.52,3
0.48,10
7.35,1
0.41,9
1.69,1
0.26,20
4.55,1
3.87,1
0.54,3
0.84,1
0.51,4
0.56,6
0.74,4
0.7,2
2.02,1
1.15,1
0.32,12
0.53,5
0.95,2
1.38,2
2.52,1
0.99,1
1.23,1
1.11,1
2.12,2
3.13,1
4.09,1
1.84,1
0.98,1
0.43,9
0.39,6
1.86,1
0.66,1
0.6,2
0.81,3
0.23,19
0.77,4
0.67,2
0.5,4
0.34,9
0.72,4
0.65,6
0.47,5
4.92,1
1.67,1
0.82,4
7.96,1
0.83,2
0.36,11
3.09,1
2.2,1
1.13,1
2.68,1
1.14,1
0.89,1
0.46,2
0.57,1
0.38,6
0.87,1
0.85,2
0.64,1
1.55,1
0.55,2
2.11,1
0.71,2
1.44,1
0.79,2
0.96,1
1.37,1
1.4,1
0.75,1
