head,predicate,tail,dataset
03079230,_hypernym,04063868,train
01476135,_hypernym,01342529,train
00849080,_hypernym,02514187,train
12261808,_hypernym,12260799,train
02495922,_also_see,00931555,train
01960911,_hypernym,01835496,train
01416539,_derivationally_related_form,03481172,train
08827126,_has_part,09332976,train
04889162,_hypernym,04887912,test
10979079,_instance_hypernym,10560637,train
00052845,_verb_group,01308681,train
00369138,_derivationally_related_form,02030424,train
00537339,_also_see,01353226,train
04686003,_hypernym,04683814,train
02021438,_member_meronym,02022135,train
00615421,_derivationally_related_form,05707269,train
08157405,_hypernym,07971582,train
07269916,_synset_domain_topic_of,06128570,train
14531392,_hypernym,14531983,test
00493259,_derivationally_related_form,14821984,train
01802070,_derivationally_related_form,01069311,train
00357332,_derivationally_related_form,13164583,train
01662784,_hypernym,01662622,train
05720248,_derivationally_related_form,02172888,train
00811355,_hypernym,00810598,train
00720565,_derivationally_related_form,02382087,test
00419685,_hypernym,00419375,train
08929922,_has_part,08937109,train
00880227,_derivationally_related_form,06695579,train
09609871,_derivationally_related_form,00169806,train
12345495,_hypernym,11562747,train
09919297,_derivationally_related_form,06062076,train
12772081,_member_meronym,12773488,train
02158846,_hypernym,02157557,train
01800759,_member_meronym,01801753,train
13809207,_hypernym,00031921,train
12594533,_hypernym,13135832,train
00069166,_derivationally_related_form,14898470,train
02004227,_hypernym,02001858,train
02646757,_derivationally_related_form,13253751,test
00274941,_hypernym,00273690,train
14704465,_derivationally_related_form,01356750,train
05876912,_hypernym,05872982,train
03247620,_hypernym,14778436,train
00691516,_verb_group,00971015,train
09141526,_has_part,09143786,train
01800195,_hypernym,01799794,train
14407536,_derivationally_related_form,01806505,train
01977701,_verb_group,01985923,train
01972298,_hypernym,01835496,train
00120202,_derivationally_related_form,01963942,valid
03776460,_hypernym,04467099,test
00329227,_derivationally_related_form,02066939,train
04821802,_hypernym,04820258,train
08519444,_hypernym,08518940,train
05155821,_hypernym,05154517,train
03155334,_hypernym,03800001,train
00840363,_derivationally_related_form,01067002,train
08900535,_has_part,08902753,train
07805006,_derivationally_related_form,01579488,train
12260021,_member_meronym,12280487,train
04082344,_derivationally_related_form,00098083,train
02557199,_derivationally_related_form,14507951,train
08849372,_instance_hypernym,08524735,train
00913065,_verb_group,00738747,train
11538935,_member_meronym,11540747,train
08714132,_has_part,09263087,train
02398732,_member_meronym,02429123,train
07143137,_derivationally_related_form,00876442,train
10001481,_hypernym,10450303,train
13553916,_derivationally_related_form,00069295,train
04780958,_derivationally_related_form,01628302,train
02704461,_derivationally_related_form,13841651,train
02317653,_hypernym,08103777,train
06268784,_derivationally_related_form,02631659,train
13589321,_derivationally_related_form,00680485,train
09133895,_instance_hypernym,08638442,train
