head,predicate,tail
03079230,_hypernym,04063868
01476135,_hypernym,01342529
00849080,_hypernym,02514187
12261808,_hypernym,12260799
02495922,_also_see,00931555
01960911,_hypernym,01835496
01416539,_derivationally_related_form,03481172
08827126,_has_part,09332976
10979079,_instance_hypernym,10560637
00052845,_verb_group,01308681
00369138,_derivationally_related_form,02030424
00537339,_also_see,01353226
04686003,_hypernym,04683814
02021438,_member_meronym,02022135
00615421,_derivationally_related_form,05707269
08157405,_hypernym,07971582
07269916,_synset_domain_topic_of,06128570
00493259,_derivationally_related_form,14821984
01802070,_derivationally_related_form,01069311
00357332,_derivationally_related_form,13164583
01662784,_hypernym,01662622
05720248,_derivationally_related_form,02172888
00811355,_hypernym,00810598
00419685,_hypernym,00419375
08929922,_has_part,08937109
00880227,_derivationally_related_form,06695579
09609871,_derivationally_related_form,00169806
12345495,_hypernym,11562747
09919297,_derivationally_related_form,06062076
12772081,_member_meronym,12773488
02158846,_hypernym,02157557
01800759,_member_meronym,01801753
13809207,_hypernym,00031921
12594533,_hypernym,13135832
00069166,_derivationally_related_form,14898470
02004227,_hypernym,02001858
00274941,_hypernym,00273690
14704465,_derivationally_related_form,01356750
05876912,_hypernym,05872982
03247620,_hypernym,14778436
00691516,_verb_group,00971015
09141526,_has_part,09143786
01800195,_hypernym,01799794
14407536,_derivationally_related_form,01806505
01977701,_verb_group,01985923
01972298,_hypernym,01835496
00329227,_derivationally_related_form,02066939
04821802,_hypernym,04820258
08519444,_hypernym,08518940
05155821,_hypernym,05154517
03155334,_hypernym,03800001
00840363,_derivationally_related_form,01067002
08900535,_has_part,08902753
07805006,_derivationally_related_form,01579488
12260021,_member_meronym,12280487
04082344,_derivationally_related_form,00098083
02557199,_derivationally_related_form,14507951
08849372,_instance_hypernym,08524735
00913065,_verb_group,00738747
11538935,_member_meronym,11540747
08714132,_has_part,09263087
02398732,_member_meronym,02429123
07143137,_derivationally_related_form,00876442
10001481,_hypernym,10450303
13553916,_derivationally_related_form,00069295
04780958,_derivationally_related_form,01628302
02704461,_derivationally_related_form,13841651
02317653,_hypernym,08103777
06268784,_derivationally_related_form,02631659
13589321,_derivationally_related_form,00680485
09133895,_instance_hypernym,08638442
12600888,_hypernym,11567411
12187450,_member_meronym,12187663
12090041,_member_meronym,12097927
01587148,_hypernym,01507175
02701962,_derivationally_related_form,04162998
00510723,_hypernym,00510189
02525447,_hypernym,02524171
14121276,_hypernym,14059928
01248782,_derivationally_related_form,00359903
12335483,_hypernym,12334891
01207527,_derivationally_related_form,00333829
01813884,_derivationally_related_form,07529563
11909048,_hypernym,11565385
02713852,_hypernym,02713372
11902595,_member_meronym,11902709
02611002,_derivationally_related_form,11410625
10746931,_hypernym,09820263
02496816,_derivationally_related_form,00089027
02416751,_verb_group,02416278
01125429,_also_see,00996448
09857007,_hypernym,09629246
08340989,_hypernym,08339939
02705303,_hypernym,01105639
10641551,_derivationally_related_form,00796976
12039743,_member_meronym,12052630
01981436,_derivationally_related_form,00052334
02472293,_has_part,05563266
05474346,_has_part,05473928
02744977,_derivationally_related_form,06892016
12815925,_member_meronym,12821257
01121855,_hypernym,01120448
05624042,_derivationally_related_form,02474239
03029603,_has_part,04228844
04947186,_hypernym,04946877
01409940,_member_meronym,01410109
14425103,_derivationally_related_form,01321456
02923510,_derivationally_related_form,08095647
02139199,_hypernym,01886756
05629381,_hypernym,05625879
10915862,_instance_hypernym,10020890
02231052,_hypernym,02159955
13259481,_hypernym,13258362
08506932,_instance_hypernym,08506641
00689673,_derivationally_related_form,02215001
00552815,_hypernym,00109660
11911591,_member_meronym,12002197
00477665,_hypernym,00140967
01036996,_derivationally_related_form,02488834
08642517,_hypernym,08641113
13632007,_hypernym,13601596
02479896,_member_meronym,02481629
11374281,_instance_hypernym,10060621
09938672,_derivationally_related_form,04956594
08877208,_instance_hypernym,08633957
00137877,_hypernym,00136329
09044862,_has_part,09102016
04743605,_derivationally_related_form,01409581
02269143,_derivationally_related_form,00192613
00277935,_also_see,01463520
08022259,_instance_hypernym,08392137
04785908,_hypernym,04723816
00910135,_derivationally_related_form,10018021
09424489,_hypernym,09190918
02658867,_hypernym,02657219
12323411,_hypernym,11562747
13486838,_synset_domain_topic_of,06115701
07393161,_derivationally_related_form,02171664
04692157,_derivationally_related_form,01549905
08220891,_synset_domain_topic_of,06066555
06845599,_member_of_domain_usage,04007510
01637982,_hypernym,01633343
07365849,_derivationally_related_form,01859586
05779371,_hypernym,05773923
01655902,_synset_domain_topic_of,00911048
02569151,_hypernym,01432517
00202934,_derivationally_related_form,10326087
09768830,_hypernym,10036266
14058252,_derivationally_related_form,00077698
13200806,_hypernym,13167078
00142665,_hypernym,00635850
02518324,_hypernym,02517938
02025530,_member_meronym,02031143
01040390,_hypernym,01039925
02253456,_derivationally_related_form,13279262
05578095,_derivationally_related_form,01751545
07528807,_hypernym,07528212
01106587,_hypernym,01105259
00654625,_derivationally_related_form,10626867
14433769,_hypernym,14433587
01137987,_derivationally_related_form,02433123
00996448,_also_see,01125429
13960464,_hypernym,13960117
14561618,_derivationally_related_form,00208497
02256010,_member_meronym,02256172
01435380,_derivationally_related_form,06260121
00195342,_hypernym,00173338
02006510,_member_meronym,02006656
13809769,_hypernym,13809207
02389927,_derivationally_related_form,08075388
01277431,_derivationally_related_form,13893786
00604811,_derivationally_related_form,10694258
10507230,_derivationally_related_form,02567519
00876665,_derivationally_related_form,08308497
02415831,_derivationally_related_form,00582868
02161432,_also_see,01275562
12862828,_hypernym,13112664
11609684,_has_part,07774842
02412939,_derivationally_related_form,10554455
09044862,_member_of_domain_region,10375690
06399995,_hypernym,06362953
01722447,_derivationally_related_form,00548802
01921964,_hypernym,01968569
15103226,_hypernym,14662574
10270232,_derivationally_related_form,02639075
04519153,_hypernym,03096960
13473097,_hypernym,13466586
06806469,_derivationally_related_form,00836236
09418169,_instance_hypernym,09411430
01456771,_derivationally_related_form,02156532
01261018,_hypernym,00173338
05568767,_hypernym,05474346
01915365,_verb_group,01853696
03854065,_hypernym,04586932
00912833,_derivationally_related_form,01860497
06845599,_member_of_domain_usage,04012852
01995323,_member_meronym,01995686
13971561,_hypernym,13970236
09872557,_hypernym,09713501
10665302,_derivationally_related_form,02407338
14403772,_derivationally_related_form,01819911
01964049,_hypernym,01963571
08231874,_hypernym,08231184
00688768,_hypernym,00689344
03260293,_derivationally_related_form,00307419
01067816,_derivationally_related_form,10599806
06376572,_hypernym,07092158
07397955,_derivationally_related_form,02175578
00313806,_hypernym,00313647
07726796,_hypernym,07724943
02593863,_member_meronym,02595902
10355449,_hypernym,10363913
03034860,_has_part,03035252
01428155,_member_meronym,02543412
02893338,_derivationally_related_form,06702458
03351979,_hypernym,04100174
01970826,_also_see,01989053
01933204,_hypernym,01999798
05735478,_derivationally_related_form,00726300
10368414,_hypernym,10042845
01921204,_derivationally_related_form,10442417
02056971,_verb_group,01930482
11556187,_hypernym,11555413
05805475,_derivationally_related_form,00591115
08100481,_hypernym,08149781
02290461,_hypernym,02210855
15192890,_hypernym,15185007
00809654,_derivationally_related_form,00740712
00345641,_hypernym,00342028
00666058,_also_see,01535709
00335384,_hypernym,00331950
11827775,_member_meronym,11834148
08994834,_instance_hypernym,08524735
04113765,_hypernym,02733524
02025009,_derivationally_related_form,08274565
00166172,_derivationally_related_form,01076615
06481320,_hypernym,06637824
01161017,_derivationally_related_form,02500144
01401517,_member_meronym,01401686
00750532,_derivationally_related_form,00731222
12351287,_hypernym,11555413
02232606,_member_meronym,02235575
10055730,_hypernym,00007846
02474780,_synset_domain_topic_of,08081668
08306665,_synset_domain_topic_of,06236802
08628921,_derivationally_related_form,02727039
05333467,_has_part,05350061
05110408,_derivationally_related_form,01975912
00069295,_derivationally_related_form,05327767
10209616,_hypernym,09815790
11822849,_hypernym,11573660
02699783,_hypernym,02657219
12748248,_hypernym,13100677
08356074,_has_part,10467395
09764900,_derivationally_related_form,00038750
02643740,_hypernym,02642814
00803325,_hypernym,00802318
12496735,_hypernym,11585340
01061489,_also_see,00727564
01996574,_hypernym,02058994
03990834,_derivationally_related_form,00085046
10174695,_derivationally_related_form,08891595
12622875,_hypernym,12205694
07436100,_hypernym,07407777
02344381,_derivationally_related_form,07295629
00869596,_derivationally_related_form,01168961
00058002,_hypernym,00052334
09889691,_derivationally_related_form,01094086
06481320,_derivationally_related_form,00946755
07211752,_derivationally_related_form,00907930
01410363,_derivationally_related_form,04748836
03644378,_derivationally_related_form,01604251
01261293,_derivationally_related_form,01796346
09146111,_instance_hypernym,08524735
02165456,_hypernym,02164464
14669413,_hypernym,14662574
00409869,_hypernym,00126264
01599805,_hypernym,01332730
10221312,_derivationally_related_form,00854150
06755568,_hypernym,06753800
02413131,_has_part,07667151
07338681,_hypernym,07338552
05703429,_derivationally_related_form,02169352
10523341,_derivationally_related_form,08206460
13405296,_hypernym,13405962
01647229,_derivationally_related_form,00240184
08747054,_has_part,08847268
01435380,_derivationally_related_form,05250659
10214062,_derivationally_related_form,01126360
10644598,_hypernym,10053808
00591236,_derivationally_related_form,09775663
05297523,_hypernym,05220461
08143163,_hypernym,08337324
08713772,_has_part,08915372
05729875,_hypernym,05726596
08744236,_instance_hypernym,08691669
11997775,_member_meronym,11997969
00116376,_derivationally_related_form,01455866
01776313,_derivationally_related_form,02175578
02048698,_hypernym,02021795
05119837,_hypernym,05119367
01149470,_verb_group,01079873
10404242,_derivationally_related_form,02231473
00160261,_hypernym,00126264
05299927,_hypernym,05299178
12501745,_member_meronym,12555069
12766869,_hypernym,13100156
07157273,_member_of_domain_usage,00341184
06845599,_member_of_domain_usage,14886579
00855794,_derivationally_related_form,10526927
00963570,_derivationally_related_form,10630188
07492516,_hypernym,07490713
11600139,_member_meronym,11601487
11900058,_member_meronym,11908718
10726233,_hypernym,10193026
04447028,_hypernym,02881193
02609764,_derivationally_related_form,07291312
01790943,_member_meronym,01791107
07956887,_derivationally_related_form,02246686
02296153,_derivationally_related_form,06685198
12163035,_hypernym,13100677
04592099,_hypernym,03438257
02509287,_derivationally_related_form,00808182
07654886,_derivationally_related_form,01140315
09001373,_instance_hypernym,08654360
11895980,_hypernym,11575425
13887056,_derivationally_related_form,02718863
01206849,_hypernym,01206218
09891730,_hypernym,10631941
01595830,_derivationally_related_form,00149508
14425414,_hypernym,14425103
00222485,_derivationally_related_form,01620436
00583239,_also_see,02505716
04802198,_derivationally_related_form,00631391
12923839,_hypernym,11585340
02536557,_derivationally_related_form,11414608
03015254,_has_part,04190052
00233614,_derivationally_related_form,01137696
08860123,_member_of_domain_region,08167953
06714288,_derivationally_related_form,00824292
09087450,_instance_hypernym,08524735
03318438,_derivationally_related_form,02576921
01266945,_derivationally_related_form,01219993
04173698,_derivationally_related_form,02163183
10584729,_hypernym,10129825
01463340,_derivationally_related_form,03819595
08706502,_instance_hypernym,08524735
00715674,_derivationally_related_form,01329239
00967098,_derivationally_related_form,07217924
02737187,_derivationally_related_form,13813042
08616050,_hypernym,08598301
01158190,_derivationally_related_form,01088192
05774614,_derivationally_related_form,01022420
00563824,_derivationally_related_form,05803212
02362798,_derivationally_related_form,04119892
10450303,_derivationally_related_form,13840719
06636806,_hypernym,06634376
02547014,_hypernym,01428580
00084738,_synset_domain_topic_of,00612160
00876542,_hypernym,00882159
06759063,_hypernym,06722453
00973056,_derivationally_related_form,09875786
07350754,_derivationally_related_form,01371454
09453566,_instance_hypernym,09411430
02526934,_hypernym,02526085
11420139,_hypernym,11490638
02557790,_hypernym,02557199
