r,similarRelation,tripleCountR,tripleCountS,jaccardScore
http://bias.org/vocab/american_football/football_player/current_team./american_football/football_roster_position/position,http://bias.org/vocab/sports/pro_athlete/teams./american_football/football_roster_position/position,1,1,1.0
http://bias.org/vocab/american_football/football_player/current_team./american_football/football_roster_position/team,http://bias.org/vocab/american_football/football_player/current_team./sports/sports_team_roster/team,1,1,1.0
http://bias.org/vocab/american_football/football_player/current_team./american_football/football_roster_position/team,http://bias.org/vocab/sports/pro_athlete/teams./american_football/football_roster_position/team,1,1,1.0
http://bias.org/vocab/american_football/football_player/current_team./sports/sports_team_roster/team,http://bias.org/vocab/american_football/football_player/current_team./american_football/football_roster_position/team,1,1,1.0
http://bias.org/vocab/american_football/football_player/current_team./sports/sports_team_roster/team,http://bias.org/vocab/sports/pro_athlete/teams./american_football/football_roster_position/team,1,1,1.0
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/player,http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/player,1,1,1.0
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/player,http://bias.org/vocab/sports/sports_team/roster./american_football/football_roster_position/player,1,1,1.0
http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/player,http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/player,1,1,1.0
http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/player,http://bias.org/vocab/sports/sports_team/roster./american_football/football_roster_position/player,1,1,1.0
http://bias.org/vocab/base/ecology/ecosystem/ecosystem_members,http://bias.org/vocab/base/ecology/food_web_member/belongs_to_ecosystem_s,1,1,1.0
http://bias.org/vocab/base/ecology/food_web_member/belongs_to_ecosystem_s,http://bias.org/vocab/base/ecology/ecosystem/ecosystem_members,1,1,1.0
http://bias.org/vocab/book/newspaper/owner,http://bias.org/vocab/book/periodical/publisher./book/periodical_publisher_period/publisher,1,1,1.0
http://bias.org/vocab/book/newspaper_owner/newspapers_owned,http://bias.org/vocab/book/periodical_publisher/periodicals_published./book/periodical_publisher_period/periodical,1,1,1.0
