relation,option,tailEntities,tailEntitiesForOption,optionRepresented
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/0d060g,43,32,0.74418604
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/06mzp,43,34,0.7906977
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/09c7w0,43,33,0.76744187
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/05qhw,43,23,0.53488374
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/03rjj,43,35,0.81395346
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/0d0vqn,43,35,0.81395346
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/03_3d,43,28,0.6511628
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/07ssc,43,32,0.74418604
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/03gj2,43,22,0.5116279
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/0f8l9c,43,38,0.88372093
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/0chghy,43,24,0.55813956
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/0h7x,43,31,0.7209302
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/02vzc,43,32,0.74418604
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/059j2,43,32,0.74418604
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,http://bias.org/entity/m/05b4w,43,26,0.60465115
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/02_j1w,746,589,0.7895442
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/02sdk9v,746,577,0.7734584
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/0dgrmp,746,502,0.67292225
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,http://bias.org/entity/m/02nzb8,746,597,0.8002681
http://bias.org/vocab/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,http://bias.org/entity/m/04ztj,2730,2550,0.93406594
http://bias.org/vocab/film/film_distribution_medium/films_distributed_in_this_medium./film/film_film_distributor_relationship/film,http://bias.org/entity/m/0735l,199,122,0.6130653
