relation,tail,filteredTripleCount,tripleCount,representation
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08mbj5d,3613,5945,0.6077376
http://bias.org/vocab/people/person/gender,http://bias.org/entity/m/05zppz,2917,3721,0.78392905
http://bias.org/vocab/people/person/spouse_s./people/marriage/type_of_union,http://bias.org/entity/m/04ztj,2586,2909,0.8889653
http://bias.org/vocab/people/person/nationality,http://bias.org/entity/m/09c7w0,2510,4198,0.5979038
http://bias.org/vocab/film/film/language,http://bias.org/entity/m/02h40lc,1477,2570,0.57470816
http://bias.org/vocab/film/film/country,http://bias.org/entity/m/09c7w0,1317,2407,0.5471541
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,http://bias.org/entity/m/029j_,1311,1429,0.9174248
http://bias.org/vocab/film/film/estimated_budget./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,1164,1210,0.96198344
http://bias.org/vocab/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,http://bias.org/entity/m/0jbk9,789,789,1.0
http://bias.org/vocab/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source,http://bias.org/entity/m/0jbk9,788,788,1.0
http://bias.org/vocab/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source,http://bias.org/entity/m/0jbk9,785,785,1.0
http://bias.org/vocab/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source,http://bias.org/entity/m/0jbk9,782,782,1.0
http://bias.org/vocab/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source,http://bias.org/entity/m/0jbk9,775,775,1.0
http://bias.org/vocab/people/person/languages,http://bias.org/entity/m/02h40lc,501,783,0.63984674
http://bias.org/vocab/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,457,475,0.9621053
http://bias.org/vocab/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,http://bias.org/entity/m/04n6k,411,411,1.0
http://bias.org/vocab/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,389,389,1.0
http://bias.org/vocab/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,378,378,1.0
http://bias.org/vocab/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,376,376,1.0
http://bias.org/vocab/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,373,373,1.0
http://bias.org/vocab/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,370,370,1.0
http://bias.org/vocab/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,353,476,0.74159664
http://bias.org/vocab/location/administrative_division/second_level_division_of,http://bias.org/entity/m/09c7w0,344,476,0.7226891
http://bias.org/vocab/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,339,456,0.7434211
http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,302,360,0.8388889
http://bias.org/vocab/sports/sports_team/sport,http://bias.org/entity/m/02vx4,270,423,0.63829786
http://bias.org/vocab/film/actor/film./film/performance/special_performance_type,http://bias.org/entity/m/0147fv,229,409,0.5599022
http://bias.org/vocab/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,http://bias.org/entity/m/0ckd1,225,225,1.0
http://bias.org/vocab/tv/tv_program/languages,http://bias.org/entity/m/02h40lc,218,254,0.8582677
http://bias.org/vocab/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,215,220,0.97727275
http://bias.org/vocab/business/business_operation/revenue./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,213,215,0.9906977
http://bias.org/vocab/tv/tv_program/country_of_origin,http://bias.org/entity/m/09c7w0,203,269,0.75464684
http://bias.org/vocab/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,197,198,0.9949495
http://bias.org/vocab/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,http://bias.org/entity/m/0147fv,195,232,0.8405172
http://bias.org/vocab/business/business_operation/assets./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,180,181,0.9944751
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/country,http://bias.org/entity/m/09c7w0,177,182,0.97252744
