Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a  <http://bias.org/vocab/draftTeam>  ?b   => ?a  <http://bias.org/vocab/formerTeam>  ?b,0.07027027,0.565217391,0.764705882,13,23,17,?a
?a  <http://bias.org/vocab/whaDraftTeam>  ?b   => ?a  <http://bias.org/vocab/formerTeam>  ?b,0.010810811,0.4,0.666666667,2,5,3,?a
?b  <http://bias.org/vocab/largestCity>  ?a   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.1,1,2,20,2,?a
?a  <http://bias.org/vocab/mouthRegion>  ?b   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.5,1,2,4,2,?a
?a  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/region>  ?b,0.047619048,0.002087683,0.555555556,5,2395,9,?a
?a  <http://bias.org/vocab/deathPlace>  ?b   => ?a  <http://bias.org/vocab/region>  ?b,0.047619048,0.007102273,0.5,5,704,10,?a
?a  <http://bias.org/vocab/occupation>  ?b   => ?a  <http://bias.org/vocab/instrument>  ?b,0.014164306,0.014619883,0.555555556,5,342,9,?a
?b  <http://bias.org/vocab/sisterStation>  ?a   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.73255814,0.73255814,0.893617021,126,172,141,?a
?a  <http://bias.org/vocab/broadcastArea>  ?b   => ?a  <http://bias.org/vocab/city>  ?b,0.042372881,0.098039216,0.625,5,51,8,?a
?b  <http://bias.org/vocab/bandMember>  ?a   => ?a  <http://bias.org/vocab/bandMember>  ?b,0.374045802,0.374045802,1,49,131,49,?a
?a  <http://bias.org/vocab/routeJunction>  ?b   => ?a  <http://bias.org/vocab/city>  ?b,0.025423729,0.046153846,0.6,3,65,5,?a
?b  <http://bias.org/vocab/associatedMusicalArtist>  ?a   => ?a  <http://bias.org/vocab/bandMember>  ?b,0.404580153,0.074229692,0.609195402,53,714,87,?a
?b  <http://bias.org/vocab/formerBandMember>  ?a   => ?a  <http://bias.org/vocab/bandMember>  ?b,0.061068702,0.06557377,0.888888889,8,122,9,?a
?b  <http://bias.org/vocab/parent>  ?a   => ?a  <http://bias.org/vocab/successor>  ?b,0.03030303,0.157894737,1,6,38,6,?b
?b  <http://bias.org/vocab/associatedBand>  ?a   => ?a  <http://bias.org/vocab/bandMember>  ?b,0.335877863,0.063492063,0.571428571,44,693,77,?a
?a  <http://bias.org/vocab/formerBandMember>  ?b   => ?a  <http://bias.org/vocab/bandMember>  ?b,0.091603053,0.098360656,0.5,12,122,24,?a
?a  <http://bias.org/vocab/lieutenant>  ?b   => ?a  <http://bias.org/vocab/successor>  ?b,0.015151515,0.333333333,0.75,3,9,4,?b
?a  <http://bias.org/vocab/primeMinister>  ?b   => ?a  <http://bias.org/vocab/successor>  ?b,0.025252525,0.217391304,0.833333333,5,23,6,?b
?b  <http://bias.org/vocab/governor>  ?a   => ?a  <http://bias.org/vocab/successor>  ?b,0.03030303,0.260869565,0.857142857,6,23,7,?b
?b  <http://bias.org/vocab/successor>  ?a   => ?a  <http://bias.org/vocab/successor>  ?b,0.065656566,0.065656566,0.433333333,13,198,30,?b
?b  <http://bias.org/vocab/president>  ?a   => ?a  <http://bias.org/vocab/successor>  ?b,0.015151515,0.052631579,0.375,3,57,8,?b
?a  <http://bias.org/vocab/predecessor>  ?b   => ?a  <http://bias.org/vocab/successor>  ?b,0.04040404,0.048192771,0.380952381,8,166,21,?b
?b  <http://bias.org/vocab/predecessor>  ?a   => ?a  <http://bias.org/vocab/successor>  ?b,0.575757576,0.686746988,0.982758621,114,166,116,?b
?a  <http://bias.org/vocab/writer>  ?b   => ?a  <http://bias.org/vocab/artist>  ?b,0.017241379,0.006379585,1,4,627,4,?a
?a  <http://bias.org/vocab/producer>  ?b   => ?a  <http://bias.org/vocab/artist>  ?b,0.284482759,0.076388889,0.725274725,66,864,91,?a
?b  <http://bias.org/vocab/formerBandMember>  ?a   => ?a  <http://bias.org/vocab/associatedMusicalArtist>  ?b,0.074229692,0.43442623,0.841269841,53,122,63,?a
?b  <http://bias.org/vocab/associatedMusicalArtist>  ?a   => ?a  <http://bias.org/vocab/associatedMusicalArtist>  ?b,0.225490196,0.225490196,0.555172414,161,714,290,?a
?b  <http://bias.org/vocab/bandMember>  ?a   => ?a  <http://bias.org/vocab/associatedMusicalArtist>  ?b,0.074229692,0.404580153,0.883333333,53,131,60,?a
?b  <http://bias.org/vocab/associatedBand>  ?a   => ?a  <http://bias.org/vocab/associatedMusicalArtist>  ?b,0.208683473,0.215007215,0.549815498,149,693,271,?a
?a  <http://bias.org/vocab/producer>  ?b   => ?a  <http://bias.org/vocab/writer>  ?b,0.177033493,0.128472222,0.755102041,111,864,147,?a
?a  <http://bias.org/vocab/director>  ?b   => ?a  <http://bias.org/vocab/writer>  ?b,0.106858054,0.286324786,0.858974359,67,234,78,?a
?a  <http://bias.org/vocab/starring>  ?b   => ?a  <http://bias.org/vocab/writer>  ?b,0.022328549,0.013618677,0.168674699,14,1028,83,?a
?a  <http://bias.org/vocab/musicalBand>  ?b   => ?a  <http://bias.org/vocab/writer>  ?b,0.12599681,0.300380228,0.840425532,79,263,94,?a
?a  <http://bias.org/vocab/musicalArtist>  ?b   => ?a  <http://bias.org/vocab/writer>  ?b,0.127591707,0.303030303,0.842105263,80,264,95,?a
?a  <http://bias.org/vocab/associatedBand>  ?b   => ?a  <http://bias.org/vocab/associatedMusicalArtist>  ?b,0.896358543,0.923520924,0.97412481,640,693,657,?a
?a  <http://bias.org/vocab/producer>  ?b   => ?a  <http://bias.org/vocab/musicalBand>  ?b,0.178707224,0.054398148,0.746031746,47,864,63,?a
?a  <http://bias.org/vocab/writer>  ?b   => ?a  <http://bias.org/vocab/musicalBand>  ?b,0.300380228,0.12599681,0.79,79,627,100,?a
?a  <http://bias.org/vocab/stateOfOrigin>  ?b   => ?a  <http://bias.org/vocab/nationality>  ?b,0.322580645,0.869565217,1,60,69,60,?a
?a  <http://bias.org/vocab/citizenship>  ?b   => ?a  <http://bias.org/vocab/nationality>  ?b,0.096774194,0.461538462,1,18,39,18,?a
?a  <http://bias.org/vocab/hometown>  ?b   => ?a  <http://bias.org/vocab/nationality>  ?b,0.016129032,0.007751938,1,3,387,3,?a
?a  <http://bias.org/vocab/knownFor>  ?b   => ?a  <http://bias.org/vocab/nationality>  ?b,0.010752688,0.042553191,0.666666667,2,47,3,?a
?a  <http://bias.org/vocab/deathPlace>  ?b   => ?a  <http://bias.org/vocab/nationality>  ?b,0.14516129,0.038352273,0.771428571,27,704,35,?a
?a  <http://bias.org/vocab/musicalArtist>  ?b   => ?a  <http://bias.org/vocab/musicalBand>  ?b,0.920152091,0.916666667,0.991803279,242,264,244,?a
?a  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/nationality>  ?b,0.333333333,0.025887265,0.837837838,62,2395,74,?a
?a  <http://bias.org/vocab/residence>  ?b   => ?a  <http://bias.org/vocab/nationality>  ?b,0.096774194,0.093264249,0.818181818,18,193,22,?a
?a  <http://bias.org/vocab/country>  ?b   => ?a  <http://bias.org/vocab/nationality>  ?b,0.02688172,0.008210181,0.833333333,5,609,6,?a
?b  <http://bias.org/vocab/previousWork>  ?a   => ?a  <http://bias.org/vocab/previousWork>  ?b,0.017412935,0.017412935,0.259259259,7,402,27,?a
?a  <http://bias.org/vocab/subsequentWork>  ?b   => ?a  <http://bias.org/vocab/previousWork>  ?b,0.014925373,0.014814815,0.171428571,6,405,35,?a
?b  <http://bias.org/vocab/subsequentWork>  ?a   => ?a  <http://bias.org/vocab/previousWork>  ?b,0.800995025,0.795061728,0.99382716,322,405,324,?a
?a  <http://bias.org/vocab/country>  ?b   => ?a  <http://bias.org/vocab/location>  ?b,0.053571429,0.02955665,1,18,609,18,?a
?a  <http://bias.org/vocab/headquarter>  ?b   => ?a  <http://bias.org/vocab/location>  ?b,0.029761905,0.23255814,1,10,43,10,?a
?a  <http://bias.org/vocab/foundationPlace>  ?b   => ?a  <http://bias.org/vocab/location>  ?b,0.017857143,0.260869565,1,6,23,6,?a
?a  <http://bias.org/vocab/locationCity>  ?b   => ?a  <http://bias.org/vocab/location>  ?b,0.017857143,0.096774194,0.857142857,6,62,7,?a
?b  <http://bias.org/vocab/tenant>  ?a   => ?a  <http://bias.org/vocab/ground>  ?b,0.056074766,0.428571429,1,6,14,6,?a
?b  <http://bias.org/vocab/owner>  ?a   => ?a  <http://bias.org/vocab/ground>  ?b,0.018691589,0.052631579,1,2,38,2,?a
?a  <http://bias.org/vocab/homeStadium>  ?b   => ?a  <http://bias.org/vocab/ground>  ?b,0.205607477,0.956521739,1,22,23,22,?a
