Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a  <http://bias.org/vocab/dataworld/gardening_hint/split_to>  ?b   => ?a  <http://bias.org/vocab/music/instrument/family>  ?b,0.04587156,0.044247788,0.625,5,113,8,?a
?b  <http://bias.org/vocab/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months>  ?a   => ?a  <http://bias.org/vocab/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months>  ?b,0.842105263,0.842105263,0.842105263,96,114,114,?a
?b  <http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team>  ?a   => ?a  <http://bias.org/vocab/sports/sports_team/roster./baseball/baseball_roster_position/position>  ?b,0.813471503,0.044212898,0.813471503,157,3551,193,?a
?b  <http://bias.org/vocab/base/popstra/celebrity/friendship./base/popstra/friendship/participant>  ?a   => ?a  <http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers>  ?b,0.035714286,0.003814367,0.193548387,6,1573,31,?b
?b  <http://bias.org/vocab/people/person/sibling_s./people/sibling_relationship/sibling>  ?a   => ?a  <http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers>  ?b,0.011904762,0.013986014,0.5,2,143,4,?b
?b  <http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers>  ?a   => ?a  <http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers>  ?b,0.785714286,0.785714286,0.862745098,132,168,153,?b
?a  <http://bias.org/vocab/base/popstra/celebrity/friendship./base/popstra/friendship/participant>  ?b   => ?a  <http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers>  ?b,0.035714286,0.003814367,0.206896552,6,1573,29,?b
?a  <http://bias.org/vocab/people/person/sibling_s./people/sibling_relationship/sibling>  ?b   => ?a  <http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers>  ?b,0.011904762,0.013986014,0.4,2,143,5,?b
?b  <http://bias.org/vocab/location/us_county/county_seat>  ?a   => ?a  <http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division>  ?b,0.412162162,0.663043478,1,122,184,122,?b
?b  <http://bias.org/vocab/base/aareas/schema/administrative_area/capital>  ?a   => ?a  <http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division>  ?b,0.35472973,0.766423358,1,105,137,105,?b
?a  <http://bias.org/vocab/base/biblioness/bibs_location/state>  ?b   => ?a  <http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division>  ?b,0.131756757,0.124203822,0.168831169,39,314,231,?b
?a  <http://bias.org/vocab/base/aareas/schema/administrative_area/administrative_parent>  ?b   => ?a  <http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division>  ?b,0.077702703,0.037156704,0.244680851,23,619,94,?b
?a  <http://bias.org/vocab/location/hud_county_place/county>  ?b   => ?a  <http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division>  ?b,0.351351351,0.332268371,0.527918782,104,313,197,?b
?b  <http://bias.org/vocab/location/location/contains>  ?a   => ?a  <http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division>  ?b,0.726351351,0.036852931,0.154121864,215,5834,1395,?b
?b  <http://bias.org/vocab/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to>  ?a   => ?a  <http://bias.org/vocab/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to>  ?b,0.316831683,0.316831683,0.35359116,64,202,181,?a
?a  <http://bias.org/vocab/film/film/language>  ?b   => ?a  <http://bias.org/vocab/tv/tv_program/languages>  ?b,0.081433225,0.008,0.675675676,25,3125,37,?a
?a  <http://bias.org/vocab/film/film/country>  ?b   => ?a  <http://bias.org/vocab/tv/tv_program/country_of_origin>  ?b,0.093167702,0.011223345,0.731707317,30,2673,41,?a
