Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?b  <http://bias.org/vocab/_hypernym>  ?a   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.031518625,0.001182128,0.131343284,44,37221,335,?b
?b  <http://bias.org/vocab/_verb_group>  ?a   => ?a  <http://bias.org/vocab/_verb_group>  ?b,1,1,1,1220,1220,1220,?a
?b  <http://bias.org/vocab/_also_see>  ?a   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.67765043,0.67765043,0.932938856,946,1396,1014,?b
?b  <http://bias.org/vocab/_derivationally_related_form>  ?a   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,1,1,1,31867,31867,31867,?a
?b  <http://bias.org/vocab/_hypernym>  ?h  ?a  <http://bias.org/vocab/_member_of_domain_usage>  ?h   => ?a  <http://bias.org/vocab/_member_of_domain_usage>  ?b,0.057777778,0.222857143,0.764705882,39,175,51,?b
?b  <http://bias.org/vocab/_hypernym>  ?h  ?a  <http://bias.org/vocab/_member_of_domain_region>  ?h   => ?a  <http://bias.org/vocab/_member_of_domain_region>  ?b,0.016276704,0.242424242,0.761904762,16,66,21,?b
?h  <http://bias.org/vocab/_also_see>  ?b  ?a  <http://bias.org/vocab/_also_see>  ?h   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.186246418,0.126767431,0.126767431,260,2051,2051,?b
?h  <http://bias.org/vocab/_also_see>  ?a  ?b  <http://bias.org/vocab/_also_see>  ?h   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.184813754,0.125792296,0.127533366,258,2051,2023,?b
?g  <http://bias.org/vocab/_hypernym>  ?b  ?a  <http://bias.org/vocab/_member_of_domain_region>  ?g   => ?a  <http://bias.org/vocab/_member_of_domain_region>  ?b,0.012207528,0.02020202,0.705882353,12,594,17,?b
?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b  ?a  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.013493253,0.387931034,0.737704918,45,116,61,?a
?a  <http://bias.org/vocab/_instance_hypernym>  ?h  ?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.037781109,0.435986159,0.887323944,126,289,142,?a
?g  <http://bias.org/vocab/_hypernym>  ?b  ?a  <http://bias.org/vocab/_member_of_domain_usage>  ?g   => ?a  <http://bias.org/vocab/_member_of_domain_usage>  ?b,0.02962963,0.04415011,0.714285714,20,453,28,?b
?a  <http://bias.org/vocab/_derivationally_related_form>  ?h  ?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.04137931,0.071465562,0.492857143,138,1931,280,?a
?a  <http://bias.org/vocab/_also_see>  ?h  ?b  <http://bias.org/vocab/_also_see>  ?h   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.186962751,0.108164111,0.129080119,261,2413,2022,?b
?a  <http://bias.org/vocab/_has_part>  ?h  ?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.015292354,0.289772727,0.80952381,51,176,63,?a
?g  <http://bias.org/vocab/_synset_domain_topic_of>  ?b  ?g  <http://bias.org/vocab/_verb_group>  ?a   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.013493253,0.387931034,0.737704918,45,116,61,?a
?a  <http://bias.org/vocab/_has_part>  ?h  ?b  <http://bias.org/vocab/_hypernym>  ?h   => ?a  <http://bias.org/vocab/_has_part>  ?b,0.019642163,0.049005337,0.103696099,101,2061,974,?b
?g  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?g  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.04137931,0.071465562,0.492857143,138,1931,280,?a
?a  <http://bias.org/vocab/_has_part>  ?h  ?b  <http://bias.org/vocab/_instance_hypernym>  ?h   => ?a  <http://bias.org/vocab/_has_part>  ?b,0.035005834,0.436893204,0.530973451,180,412,339,?b
?g  <http://bias.org/vocab/_has_part>  ?a  ?g  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.021289355,0.266917293,0.77173913,71,266,92,?a
?h  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?b  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.024665014,0.318605594,0.318605594,786,2467,2467,?a
?a  <http://bias.org/vocab/_hypernym>  ?h  ?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.213493253,0.320720721,0.82887078,712,2220,859,?a
?b  <http://bias.org/vocab/_derivationally_related_form>  ?h  ?a  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.024665014,0.318605594,0.382854359,786,2467,2053,?a
?h  <http://bias.org/vocab/_derivationally_related_form>  ?b  ?a  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.024665014,0.318605594,0.382854359,786,2467,2053,?a
?g  <http://bias.org/vocab/_derivationally_related_form>  ?b  ?g  <http://bias.org/vocab/_verb_group>  ?a   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.024665014,0.318605594,0.382854359,786,2467,2053,?a
?a  <http://bias.org/vocab/_derivationally_related_form>  ?h  ?b  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.024665014,0.318605594,0.318605594,786,2467,2467,?a
?b  <http://bias.org/vocab/_derivationally_related_form>  ?g  ?g  <http://bias.org/vocab/_verb_group>  ?a   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.024665014,0.318605594,0.382854359,786,2467,2053,?a
?a  <http://bias.org/vocab/_derivationally_related_form>  ?g  ?g  <http://bias.org/vocab/_verb_group>  ?b   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.024665014,0.318605594,0.318605594,786,2467,2467,?a
?a  <http://bias.org/vocab/_derivationally_related_form>  ?h  ?b  <http://bias.org/vocab/_derivationally_related_form>  ?h   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.46557377,0.008539941,0.147801197,568,66511,3843,?a
?g  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?g  <http://bias.org/vocab/_derivationally_related_form>  ?b   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.46557377,0.008539941,0.147801197,568,66511,3843,?a
?g  <http://bias.org/vocab/_hypernym>  ?a  ?g  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.098050975,0.152875175,0.726666667,327,2139,450,?a
?g  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?g  <http://bias.org/vocab/_verb_group>  ?b   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.024665014,0.318605594,0.318605594,786,2467,2467,?a
?h  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?b  <http://bias.org/vocab/_derivationally_related_form>  ?h   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.46557377,0.008539941,0.147801197,568,66511,3843,?a
?h  <http://bias.org/vocab/_derivationally_related_form>  ?b  ?a  <http://bias.org/vocab/_derivationally_related_form>  ?h   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.46557377,0.008539941,0.147801197,568,66511,3843,?a
