Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?b  <http://bias.org/vocab/_hypernym>  ?a   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.029253272,0.00109208,0.130136986,38,34796,292,?b
?b  <http://bias.org/vocab/_also_see>  ?a   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.637413395,0.637413395,0.883671291,828,1299,937,?b
?b  <http://bias.org/vocab/_verb_group>  ?a   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.931458699,0.931458699,0.980573543,1060,1138,1081,?b
?b  <http://bias.org/vocab/_derivationally_related_form>  ?a   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.932222783,0.932222783,0.95163008,27701,29715,29109,?b
?b  <http://bias.org/vocab/_hypernym>  ?h  ?a  <http://bias.org/vocab/_member_of_domain_region>  ?h   => ?a  <http://bias.org/vocab/_member_of_domain_region>  ?b,0.015167931,0.237288136,0.736842105,14,59,19,?b
?b  <http://bias.org/vocab/_hypernym>  ?h  ?a  <http://bias.org/vocab/_member_of_domain_usage>  ?h   => ?a  <http://bias.org/vocab/_member_of_domain_usage>  ?b,0.049284579,0.196202532,0.756097561,31,158,41,?b
?g  <http://bias.org/vocab/_hypernym>  ?b  ?a  <http://bias.org/vocab/_member_of_domain_usage>  ?g   => ?a  <http://bias.org/vocab/_member_of_domain_usage>  ?b,0.028616852,0.04400978,0.72,18,409,25,?b
?g  <http://bias.org/vocab/_hypernym>  ?b  ?a  <http://bias.org/vocab/_member_of_domain_region>  ?g   => ?a  <http://bias.org/vocab/_member_of_domain_region>  ?b,0.01191766,0.021072797,0.733333333,11,522,15,?b
?g  <http://bias.org/vocab/_also_see>  ?a  ?b  <http://bias.org/vocab/_also_see>  ?g   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.15704388,0.110809343,0.113712375,204,1841,1794,?b
?a  <http://bias.org/vocab/_also_see>  ?h  ?b  <http://bias.org/vocab/_also_see>  ?h   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.16243264,0.094831461,0.115997801,211,2225,1819,?b
