Assuming rdf:type as type relation
Loading files... 
  Starting DBPedia50.nt
  Finished DBPedia50.nt, still running: 0
Loaded 43490 facts in 0.30 s using -26 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 12 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  <http://bias.org/vocab/battle>  ?a   => ?a  <http://bias.org/vocab/commander>  ?b	0,284313725	0,05061082	0,659090909	29	573	44	?b
?a  <http://bias.org/vocab/distributor>  ?b   => ?a  <http://bias.org/vocab/network>  ?b	0,033613445	0,012987013	0,8	4	308	5	?a
?a  <http://bias.org/vocab/company>  ?b   => ?a  <http://bias.org/vocab/network>  ?b	0,016806723	0,021978022	0,5	2	91	4	?a
?b  <http://bias.org/vocab/product>  ?a   => ?a  <http://bias.org/vocab/product>  ?b	0,03030303	0,03030303	1	5	165	5	?a
?a  <http://bias.org/vocab/developer>  ?b   => ?a  <http://bias.org/vocab/network>  ?b	0,042016807	0,078125	0,833333333	5	64	6	?a
?a  <http://bias.org/vocab/creator>  ?b   => ?a  <http://bias.org/vocab/network>  ?b	0,033613445	0,068965517	0,444444444	4	58	9	?a
?b  <http://bias.org/vocab/company>  ?a   => ?a  <http://bias.org/vocab/product>  ?b	0,012121212	0,021978022	0,333333333	2	91	6	?a
?b  <http://bias.org/vocab/developer>  ?a   => ?a  <http://bias.org/vocab/product>  ?b	0,036363636	0,09375	0,545454545	6	64	11	?a
?a  <http://bias.org/vocab/routeStart>  ?b   => ?a  <http://bias.org/vocab/city>  ?b	0,012658228	0,166666667	0,666666667	2	12	3	?a
?a  <http://bias.org/vocab/broadcastArea>  ?b   => ?a  <http://bias.org/vocab/city>  ?b	0,050632911	0,108108108	0,666666667	8	74	12	?a
?a  <http://bias.org/vocab/routeJunction>  ?b   => ?a  <http://bias.org/vocab/city>  ?b	0,018987342	0,034883721	0,428571429	3	86	7	?a
?a  <http://bias.org/vocab/industry>  ?b   => ?a  <http://bias.org/vocab/product>  ?b	0,042424242	0,061403509	0,466666667	7	114	15	?a
?b  <http://bias.org/vocab/distributor>  ?a   => ?a  <http://bias.org/vocab/product>  ?b	0,012121212	0,006493506	0,5	2	308	4	?a
?b  <http://bias.org/vocab/largestCity>  ?a   => ?a  <http://bias.org/vocab/region>  ?b	0,02027027	0,078947368	1	3	38	3	?a
?b  <http://bias.org/vocab/countySeat>  ?a   => ?a  <http://bias.org/vocab/region>  ?b	0,013513514	0,064516129	1	2	31	2	?a
?a  <http://bias.org/vocab/mouthRegion>  ?b   => ?a  <http://bias.org/vocab/region>  ?b	0,02027027	0,5	1	3	6	3	?a
?a  <http://bias.org/vocab/routeEnd>  ?b   => ?a  <http://bias.org/vocab/city>  ?b	0,018987342	0,157894737	0,6	3	19	5	?a
?a  <http://bias.org/vocab/residence>  ?b   => ?a  <http://bias.org/vocab/region>  ?b	0,013513514	0,008130081	0,666666667	2	246	3	?a
?a  <http://bias.org/vocab/deathPlace>  ?b   => ?a  <http://bias.org/vocab/region>  ?b	0,054054054	0,008859358	0,615384615	8	903	13	?a
?a  <http://bias.org/vocab/musicalArtist>  ?b   => ?a  <http://bias.org/vocab/musicalBand>  ?b	1	1	1	357	357	357	?a
?a  <http://bias.org/vocab/producer>  ?b   => ?a  <http://bias.org/vocab/musicalBand>  ?b	0,198879552	0,061154177	0,731958763	71	1161	97	?a
?a  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/region>  ?b	0,081081081	0,003754693	0,666666667	12	3196	18	?a
?a  <http://bias.org/vocab/writer>  ?b   => ?a  <http://bias.org/vocab/musicalBand>  ?b	0,288515406	0,124396135	0,715277778	103	828	144	?a
?a  <http://bias.org/vocab/citizenship>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b	0,012181617	0,224489796	0,785714286	11	49	14	?a
?a  <http://bias.org/vocab/stateOfOrigin>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b	0,011074197	0,119047619	0,909090909	10	84	11	?a
?a  <http://bias.org/vocab/restingPlace>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b	0,016611296	0,208333333	0,789473684	15	72	19	?a
?a  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b	0,320044297	0,090425532	0,708333333	289	3196	408	?a
?a  <http://bias.org/vocab/nationality>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b	0,03875969	0,145833333	0,795454545	35	240	44	?a
?a  <http://bias.org/vocab/residence>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b	0,044296788	0,162601626	0,85106383	40	246	47	?a
?b  <http://bias.org/vocab/parent>  ?a   => ?a  <http://bias.org/vocab/successor>  ?b	0,026923077	0,14893617	1	7	47	7	?b
?b  <http://bias.org/vocab/governor>  ?a   => ?a  <http://bias.org/vocab/successor>  ?b	0,023076923	0,2	0,75	6	30	8	?b
?a  <http://bias.org/vocab/lieutenant>  ?b   => ?a  <http://bias.org/vocab/successor>  ?b	0,011538462	0,230769231	0,75	3	13	4	?b
?a  <http://bias.org/vocab/primeMinister>  ?b   => ?a  <http://bias.org/vocab/successor>  ?b	0,019230769	0,142857143	0,5	5	35	10	?b
